COMMISSION_RATE_ID,PRODUCT_TYPE,TIERED_LEVEL,COMMISSION_TARGET,COMMISSION_RATE
1,EDUCATION,T1,10000,0.05
2,EDUCATION,T2,30000,0.08
3,EDUCATION,T3,100000,0.1
4,EDUCATION,T4,200000,0.12
5,HOME,T1,100000,0.05
6,HOME,T2,300000,0.1
7,HOME,T3,400000,0.12
8,HOME,T4,500000,0.15
9,AUTO,T1,10000,0.05
10,AUTO,T2,30000,0.1
11,AUTO,T3,100000,0.12
12,AUTO,T4,200000,0.15
13,BUSINESS,T1,100000,0.05
14,BUSINESS,T2,300000,0.1
15,BUSINESS,T3,400000,0.12
16,BUSINESS,T4,500000,0.15
17,PERSONAL,T1,10000,0.05
18,PERSONAL,T2,50000,0.08
19,PERSONAL,T3,200000,0.1
20,PERSONAL,T4,500000,0.12
