LOAN_APPLICATION_ID,PROPERTY_ID,LOAN_TYPE_ID,LOAN_AMOUNT,CUSTOMER_ID,ACCOUNT_ID,APPLIED_DATE,EMPLOYEE_ID
1,1,1,29843.91,24,1,2016-07-19,1
2,2,2,41352.87,13,2,2017-10-01,2
3,3,3,88277.23,2,3,2004-10-25,3
4,4,4,40167.83,21,4,2012-04-01,4
5,5,5,60352.74,26,5,2020-11-01,5
6,6,6,49209.87,35,6,2019-12-22,6
7,7,7,73400.35,3,7,2017-03-20,7
8,8,8,67357.44,45,8,2013-10-05,8
9,9,9,85745.29,30,9,2019-08-28,9
10,10,10,89253.46,10,10,2015-08-16,10
11,11,11,80758.1,4,11,2023-04-16,11
12,12,12,98550.52,47,12,2010-11-15,12
13,13,13,87546.17,27,13,2020-08-11,13
14,14,14,5998.7,25,14,2008-03-06,14
15,15,15,54848.15,1,15,2013-01-11,15
16,16,16,21609.58,42,16,2008-03-12,16
17,17,17,65149.9,32,17,2006-09-01,17
18,18,18,34184.46,52,18,2011-12-18,18
19,19,19,13598.1,71,19,2021-07-24,19
20,20,20,14863.1,34,20,2008-06-10,20
21,21,21,53039.39,80,21,2013-12-29,21
22,22,22,98118.11,67,22,2006-10-20,22
23,23,23,98036.35,53,23,2005-12-13,23
24,24,24,91635.86,91,24,2014-09-04,24
25,25,25,19325.92,97,25,2019-07-04,25
26,26,26,57670.11,130,26,2022-06-27,26
27,27,27,73639.78,140,27,2006-11-13,27
28,28,28,55235.18,133,28,2015-06-24,28
29,29,29,360.54,144,29,2018-03-19,29
30,30,30,57972.28,128,30,2014-03-14,30
31,31,31,50681.32,151,31,2010-05-25,31
32,32,32,60691.24,73,32,2022-03-29,32
33,33,33,26748.86,160,33,2019-09-02,33
34,34,34,13177.47,107,34,2018-07-03,34
35,35,35,15685.47,187,35,2021-03-06,35
36,36,36,10228.55,166,36,2012-04-20,36
37,37,37,93182.61,175,37,2005-07-23,37
38,38,38,54316.66,172,38,2022-02-09,38
39,39,39,8245.67,165,39,2003-12-02,39
40,40,40,98099.56,192,40,2006-08-12,40
41,41,1,32465.3,223,41,2017-01-04,41
42,42,2,52116.9,232,42,2003-06-24,42
43,43,3,52750.44,234,43,2020-03-26,43
44,44,4,14563.65,161,44,2014-10-10,44
45,45,5,14580,149,45,2011-09-27,45
46,46,6,71922.3,240,46,2014-07-04,46
47,47,7,61300.34,254,47,2005-08-01,47
48,48,8,50930.7,238,48,2009-12-10,48
49,49,9,3115.5,256,49,2022-10-01,49
50,50,10,22142.16,211,50,2010-12-25,50
