LOAN_ID,EMPLOYEE_ID,ACCOUNT_NUMBER,SANCTION_DATE,LOAN_AMOUNT,LOAN_TYPE_ID,TENURE,EMI_AMOUNT,APPLICATION_ID
2539,1,174,2017-01-19,88277.23,21,144,739.06,1
2557,1,82,2018-04-01,67357.44,36,144,563.92,2
2663,1,85,2005-04-25,57972.28,2,144,485.35,3
2671,1,119,2012-10-01,26748.86,24,144,223.94,4
2677,1,65,2021-05-01,15685.47,29,144,131.32,5
2719,1,17,2020-06-22,71922.3,21,144,602.14,6
2729,1,156,2017-09-20,50930.7,12,144,426.39,7
2753,1,150,2014-04-05,78783.51,21,144,659.58,8
2767,1,51,2020-02-28,30032.37,35,144,251.43,9
2797,1,30,2016-02-16,76911.9,24,144,643.91,10
2833,1,54,2023-10-16,96253.35,10,144,805.84,11
2971,1,150,2011-05-15,39824.82,27,144,333.42,12
2999,1,28,2021-02-11,7854.16,23,144,65.76,13
3019,1,98,2008-09-06,88330.73,9,144,739.51,14
3041,1,14,2013-07-11,85540.74,28,144,716.15,15
3067,1,198,2008-09-12,55727.38,17,144,466.55,16
3209,1,77,2007-03-01,76518.55,30,144,640.62,17
3229,1,12,2012-06-18,85720.99,3,144,717.66,18
3251,1,66,2022-01-24,5851.77,13,144,48.99,19
3329,1,50,2008-12-10,32557.66,29,144,272.57,20
3347,1,99,2014-06-29,84393.85,6,144,706.55,21
3359,1,35,2007-04-20,44972.81,25,144,376.51,22
3371,1,98,2006-06-13,44927.45,4,144,376.13,23
3373,1,54,2015-03-04,63605.65,39,144,532.51,24
3413,1,51,2020-01-04,94217.62,24,144,788.79,25
103,1,160,2022-12-27,97204.24,24,144,813.8,26
109,1,184,2007-05-13,2904.9,37,144,24.32,27
113,1,73,2015-12-24,98007.89,9,144,820.53,28
131,1,167,2018-09-19,70086.81,40,144,586.77,29
167,1,20,2014-09-14,31530.88,34,144,263.98,30
199,1,64,2010-11-25,45391.99,1,144,380.02,31
227,1,193,2022-09-29,3317.91,40,144,27.78,32
229,1,24,2020-03-02,96099,30,144,804.55,33
241,1,27,2019-01-03,33088.87,22,144,277.02,34
2642,2,38,2021-09-06,19325.92,39,144,161.8,35
2846,2,180,2012-10-20,93989.73,13,144,786.89,36
2858,2,179,2006-01-23,4323.59,11,144,36.2,37
2878,2,171,2022-08-09,91553.7,38,144,766.49,38
2902,2,32,2004-06-02,3593.83,14,144,30.09,39
2986,2,30,2007-02-12,83524.97,28,144,699.27,40
3238,2,35,2017-07-04,88207.71,21,144,738.48,41
3242,2,27,2003-12-24,74157.53,27,144,620.85,42
3398,2,31,2020-09-26,65859.54,29,144,551.38,43
3494,2,198,2015-04-10,47654.25,22,144,398.96,44
226,2,27,2012-03-27,76387.62,39,144,639.52,45
2612,2,55,2015-01-04,65149.9,12,144,545.44,46
2636,2,84,2006-02-01,98036.35,24,144,820.76,47
2644,2,68,2010-06-10,57670.11,5,144,482.82,48
2768,2,119,2023-04-01,22265.38,20,144,186.41,49
2792,2,95,2011-06-25,67003.12,25,144,560.95,50
2824,2,187,2012-01-24,40351.81,31,144,337.83,51
3056,2,191,2008-10-15,19755.76,2,144,165.4,52
3076,2,39,2022-05-30,92308.33,18,144,772.81,53
3112,2,37,2019-03-06,45708.4,4,144,382.67,54
