account_exception_id,account_id,employee_id,exception_date,exception_status,exception_type,description
1,12740,1410,2016-10-26,Resolved,Overdrawn account,Account balance dropped below zero
2,9908,20118,2018-03-20,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
3,4986,3476,2012-02-10,In progress,Unauthorized transaction,Suspicious transaction detected on the account
4,2108,6694,2015-02-03,Under investigation,Overdrawn account,Account balance dropped below zero
5,20023,2528,2019-03-25,In progress,Account freeze,Account temporarily frozen due to suspected fraud
6,2979,8455,2016-10-02,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
7,27975,25806,2010-01-16,In progress,Overdrawn account,Account balance dropped below zero
8,202,9036,2012-03-20,Resolved,Overdrawn account,Account balance dropped below zero
9,8715,5037,2019-12-19,In progress,Unauthorized transaction,Suspicious transaction detected on the account
10,283,20834,2012-10-24,Resolved,Overdrawn account,Account balance dropped below zero
11,23067,4944,2016-09-27,In progress,Account freeze,Account temporarily frozen due to suspected fraud
12,26484,19948,2015-03-14,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
13,13546,15386,2017-06-10,Resolved,Overdrawn account,Account balance dropped below zero
14,19051,17608,2018-10-30,In progress,Unauthorized transaction,Suspicious transaction detected on the account
15,13122,23464,2013-07-23,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
16,26997,10134,2016-06-02,Resolved,Overdrawn account,Account balance dropped below zero
17,3210,17881,2017-09-11,In progress,Unauthorized transaction,Suspicious transaction detected on the account
18,14850,27617,2009-12-30,In progress,Overdrawn account,Account balance dropped below zero
19,21828,1472,2019-03-19,Under investigation,Overdrawn account,Account balance dropped below zero
20,486,14692,2012-08-01,In progress,Unauthorized transaction,Suspicious transaction detected on the account
21,25265,15227,2014-03-06,Under investigation,Overdrawn account,Account balance dropped below zero
22,6279,26369,2018-05-02,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
23,15068,13683,2014-05-04,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
24,2955,15574,2013-03-25,In progress,Unauthorized transaction,Suspicious transaction detected on the account
25,20823,1771,2014-03-11,In progress,Account freeze,Account temporarily frozen due to suspected fraud
26,14145,6748,2012-05-16,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
27,13739,10156,2011-11-09,In progress,Unauthorized transaction,Suspicious transaction detected on the account
28,8919,590,2010-09-07,In progress,Unauthorized transaction,Suspicious transaction detected on the account
29,15483,26549,2013-03-14,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
30,17646,28219,2017-09-29,In progress,Unauthorized transaction,Suspicious transaction detected on the account
31,21166,24328,2012-01-08,In progress,Overdrawn account,Account balance dropped below zero
32,12005,9566,2016-06-21,In progress,Unauthorized transaction,Suspicious transaction detected on the account
33,1052,20680,2012-05-09,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
34,10405,4707,2016-07-10,In progress,Unauthorized transaction,Suspicious transaction detected on the account
35,1984,17866,2016-10-04,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
36,27865,25174,2015-01-03,In progress,Unauthorized transaction,Suspicious transaction detected on the account
37,14277,26909,2015-02-15,In progress,Overdrawn account,Account balance dropped below zero
38,17242,26123,2018-06-06,In progress,Account freeze,Account temporarily frozen due to suspected fraud
39,4868,2517,2019-01-17,In progress,Unauthorized transaction,Suspicious transaction detected on the account
40,18070,11396,2019-09-05,In progress,Unauthorized transaction,Suspicious transaction detected on the account
41,18154,16573,2017-04-17,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
42,16681,4365,2018-01-15,In progress,Account freeze,Account temporarily frozen due to suspected fraud
43,15239,8231,2013-01-29,Resolved,Overdrawn account,Account balance dropped below zero
44,7593,11310,2017-10-05,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
45,18304,27278,2017-11-21,Resolved,Overdrawn account,Account balance dropped below zero
46,4291,25780,2015-03-28,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
47,3204,4932,2019-01-24,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
48,645,17108,2020-02-20,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
49,12440,13754,2015-07-30,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
50,22276,13724,2020-07-27,In progress,Account freeze,Account temporarily frozen due to suspected fraud
51,27842,11631,2017-11-23,In progress,Unauthorized transaction,Suspicious transaction detected on the account
52,9782,28139,2012-11-03,In progress,Unauthorized transaction,Suspicious transaction detected on the account
53,25937,26900,2010-12-28,Resolved,Overdrawn account,Account balance dropped below zero
54,12128,26115,2014-03-19,Resolved,Overdrawn account,Account balance dropped below zero
55,15908,15565,2013-11-16,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
56,11471,17102,2016-07-27,In progress,Overdrawn account,Account balance dropped below zero
57,2445,17448,2011-10-10,Under investigation,Overdrawn account,Account balance dropped below zero
58,9327,17606,2009-12-23,Resolved,Overdrawn account,Account balance dropped below zero
59,17760,20620,2018-04-07,In progress,Unauthorized transaction,Suspicious transaction detected on the account
60,11246,1436,2012-08-14,In progress,Account freeze,Account temporarily frozen due to suspected fraud
61,18351,13034,2015-11-09,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
62,13313,17311,2019-11-24,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
63,21641,17951,2019-05-20,In progress,Unauthorized transaction,Suspicious transaction detected on the account
64,9931,17099,2011-04-12,Under investigation,Overdrawn account,Account balance dropped below zero
65,28550,11339,2016-04-23,In progress,Unauthorized transaction,Suspicious transaction detected on the account
66,13074,7817,2014-06-03,In progress,Unauthorized transaction,Suspicious transaction detected on the account
67,14834,4400,2020-08-27,In progress,Account freeze,Account temporarily frozen due to suspected fraud
68,6660,12723,2011-04-30,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
69,27189,19056,2013-12-30,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
70,19551,3483,2014-08-09,Resolved,Overdrawn account,Account balance dropped below zero
71,11954,22118,2014-12-07,In progress,Overdrawn account,Account balance dropped below zero
72,14185,25386,2019-02-11,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
73,3687,23182,2012-08-18,In progress,Account freeze,Account temporarily frozen due to suspected fraud
74,23100,10464,2014-07-17,Resolved,Overdrawn account,Account balance dropped below zero
75,17433,28260,2020-09-12,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
76,24401,17718,2011-05-11,Resolved,Overdrawn account,Account balance dropped below zero
77,18708,7059,2018-06-03,In progress,Account freeze,Account temporarily frozen due to suspected fraud
78,27143,1730,2010-05-15,Resolved,Overdrawn account,Account balance dropped below zero
79,7584,600,2017-03-24,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
80,16547,16054,2011-06-12,In progress,Unauthorized transaction,Suspicious transaction detected on the account
81,24940,12205,2015-12-07,Under investigation,Overdrawn account,Account balance dropped below zero
82,10014,19699,2011-03-29,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
83,11983,10386,2013-01-03,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
84,22669,10236,2016-10-07,In progress,Overdrawn account,Account balance dropped below zero
85,7561,9524,2018-04-02,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
86,25365,7390,2011-11-16,In progress,Account freeze,Account temporarily frozen due to suspected fraud
87,14290,21098,2011-08-25,In progress,Account freeze,Account temporarily frozen due to suspected fraud
