exception_id,customer_id,employee_id,open_date,review_date,doc_status,description,comments
1,21317,5713,2020-06-12,2021-12-09,Exception,Identity,
2,22361,13191,2017-11-14,2019-06-01,Missing,Identity,
3,24136,13342,2013-06-27,2014-11-22,Missing,Identity,
4,3490,4251,2012-02-24,2013-08-11,Exception,CIP Exception,Please re-scan ID Verification
5,20946,12133,2013-04-26,2014-10-19,Missing,CIP Exception,Please re-scan ID Verification
6,4585,14340,2010-07-20,2012-02-05,Missing,Identity,
7,17083,8411,2011-04-23,2012-10-21,Missing,CIP Exception,ID has Expired
8,4650,7817,2012-04-30,2013-10-22,Missing,CIP Exception,ID has Expired
9,24428,19718,2016-01-24,2017-09-14,Missing,Identity,
10,9295,856,2018-10-11,2020-04-25,Exception,Identity,
11,24500,8004,2011-10-10,2013-03-22,Exception,Identity,
12,901,15219,2020-07-26,2022-03-09,Exception,CIP Exception,ID has Expired
13,13272,6789,2015-09-04,2017-02-07,Exception,CIP Exception,Please re-scan ID Verification
14,10879,16821,2019-08-10,2021-02-13,Exception,CIP Exception,Please re-scan ID Verification
15,13512,1745,2011-09-29,2013-03-19,Exception,Identity,
16,20797,28157,2017-01-03,2018-07-06,Missing,CIP Exception,ID has Expired
17,7527,18221,2019-09-15,2021-02-09,Exception,CIP Exception,Please re-scan ID Verification
18,15885,25402,2015-07-24,2017-01-05,Missing,Identity,
19,26919,1785,2018-07-01,2020-02-20,Exception,CIP Exception,ID has Expired
20,1188,9772,2010-09-12,2012-02-19,Exception,Identity,
21,22428,25881,2019-01-30,2020-07-30,Missing,CIP Exception,ID has Expired
22,6513,24776,2018-05-10,2019-12-17,Missing,CIP Exception,Please re-scan ID Verification
23,2758,27900,2016-04-19,2017-12-02,Missing,CIP Exception,Please re-scan ID Verification
24,23229,26659,2014-06-28,2015-12-26,Exception,CIP Exception,ID has Expired
25,25035,13675,2019-02-04,2020-07-10,Exception,CIP Exception,Please re-scan ID Verification
26,10582,24771,2009-12-13,2011-05-04,Exception,Identity,
27,7883,28225,2017-11-02,2019-05-06,Missing,CIP Exception,Please re-scan ID Verification
28,11445,25895,2019-12-06,2021-06-01,Exception,CIP Exception,ID has Expired
29,21837,2792,2012-01-03,2013-05-27,Missing,Identity,
30,16155,26867,2019-03-20,2020-11-02,Exception,CIP Exception,ID has Expired
31,16296,26134,2011-03-31,2012-08-31,Exception,CIP Exception,ID has Expired
32,7206,9525,2019-06-22,2020-12-21,Exception,Identity,
33,2836,5598,2013-02-11,2014-08-31,Missing,CIP Exception,ID has Expired
34,20576,11759,2011-09-02,2013-01-19,Missing,CIP Exception,Please re-scan ID Verification
35,21533,24630,2011-08-26,2013-03-24,Missing,Identity,
36,2562,3045,2012-09-07,2014-04-29,Exception,CIP Exception,ID has Expired
37,16361,27218,2016-02-19,2017-07-17,Missing,CIP Exception,ID has Expired
38,8435,2108,2013-02-21,2014-07-31,Exception,Identity,
39,7603,7610,2016-09-30,2018-02-13,Missing,Identity,
40,4495,6682,2015-08-19,2017-02-25,Exception,CIP Exception,Please re-scan ID Verification
41,7776,11090,2011-05-03,2012-12-16,Exception,CIP Exception,Please re-scan ID Verification
42,13634,26004,2011-07-29,2013-01-30,Missing,Identity,
43,22375,109,2010-06-06,2011-11-17,Exception,CIP Exception,Please re-scan ID Verification
44,9439,7766,2020-07-25,2022-03-08,Exception,Identity,
45,21216,15004,2018-02-03,2019-09-16,Missing,CIP Exception,ID has Expired
46,20917,12515,2016-03-28,2017-09-11,Exception,CIP Exception,ID has Expired
47,27929,8892,2017-07-14,2019-01-03,Exception,Identity,
48,27947,14209,2016-06-09,2017-11-17,Exception,CIP Exception,Please re-scan ID Verification
49,2314,22311,2020-01-29,2021-06-27,Missing,Identity,
50,24189,6758,2017-11-14,2019-04-20,Missing,Identity,
51,2417,28799,2010-06-17,2011-12-02,Missing,Identity,
52,18772,27331,2017-11-27,2019-05-31,Missing,Identity,
53,11514,22303,2016-05-23,2017-12-06,Missing,CIP Exception,Please re-scan ID Verification
54,914,16890,2017-08-28,2019-01-19,Missing,Identity,
55,19699,17757,2013-07-08,2015-02-22,Exception,CIP Exception,ID has Expired
