ACCOUNT_APPLICATION_ID,APPLICATION_STATUS,APPLIED_DATE,APPLICATION_TYPE_ID,ACCOUNT_APPLICATION_STATE
1,Approved,2016-07-19,,Delaware
2,Approved,2017-10-01,,Tennessee
3,Approved,2004-10-25,,Oregon
4,Approved,2012-04-01,,Delaware
5,Approved,2020-11-01,,Montana
6,Approved,2019-12-22,,Oregon
7,Approved,2017-03-20,,Vermont
8,Approved,2013-10-05,,Alaska
9,Approved,2019-08-28,,North Carolina
10,Approved,2015-08-16,,Florida
11,Approved,2023-04-16,,Washington
12,Approved,2010-11-15,,Kansas
13,Approved,2020-08-11,,California
14,Approved,2008-03-06,,Kentucky
15,Approved,2013-01-11,,New Mexico
16,Approved,2008-03-12,,Iowa
17,Approved,2006-09-01,,Kentucky
18,Approved,2011-12-18,,Washington
19,Approved,2021-07-24,,California
20,Approved,2008-06-10,,Tennessee
21,Approved,2013-12-29,,Florida
22,Approved,2006-10-20,,Vermont
23,Approved,2005-12-13,,Colorado
24,Approved,2014-09-04,,Tennessee
25,Approved,2019-07-04,,Wyoming
26,Approved,2022-06-27,,New Jersey
27,Approved,2006-11-13,,Iowa
28,Approved,2015-06-24,,Arkansas
29,Approved,2018-03-19,,New York
30,Approved,2014-03-14,,Pennsylvania
31,Approved,2010-05-25,,Georgia
32,Approved,2022-03-29,,Michigan
33,Approved,2019-09-02,,Maine
34,Approved,2018-07-03,,Massachusetts
35,Approved,2021-03-06,,North Dakota
36,Approved,2012-04-20,,New Hampshire
37,Approved,2005-07-23,,Alaska
38,Approved,2022-02-09,,Georgia
39,Approved,2003-12-02,,Minnesota
40,Approved,2006-08-12,,Maryland
41,Approved,2017-01-04,,Texas
42,Approved,2003-06-24,,Montana
43,Approved,2020-03-26,,New Mexico
44,Approved,2014-10-10,,New Jersey
45,Approved,2011-09-27,,Indiana
46,Approved,2014-07-04,,New Hampshire
47,Approved,2005-08-01,,Kentucky
48,Approved,2009-12-10,,New Mexico
49,Approved,2022-10-01,,Delaware
50,Approved,2010-12-25,,Montana
51,Approved,2011-07-24,,Florida
52,Approved,2008-04-15,,South Dakota
53,Approved,2021-11-30,,Alabama
54,Approved,2018-09-06,,West Virginia
55,Approved,2006-07-18,,Arizona
56,Approved,2006-03-06,,Louisiana
57,Approved,2014-05-01,,New Mexico
58,Approved,2020-09-21,,Texas
59,Approved,2020-02-02,,Florida
60,Approved,2007-02-24,,New York
61,Approved,2013-09-11,,Georgia
62,Approved,2022-03-13,,Oklahoma
63,Approved,2013-05-06,,Utah
64,Approved,2007-09-08,,Nebraska
