account_application_id,application_status,applied_date,application_type_id,account_application_state
1,Completed,2023-03-21,3,Delaware
2,Incomplete,2021-04-30,2,Rhode Island
3,Incomplete,2023-01-02,1,Connecticut
4,Denied,2022-11-28,1,Florida
5,Denied,2022-09-08,3,West Virginia
6,Denied,2022-06-16,2,Delaware
7,Completed,2021-03-23,3,Illinois
8,Completed,2023-02-07,1,Virginia
9,Completed,2023-02-15,3,Rhode Island
10,Incomplete,2020-07-10,1,Delaware
11,Incomplete,2021-09-17,2,Rhode Island
12,Incomplete,2023-01-17,2,Louisiana
13,Incomplete,2021-04-30,3,Mississippi
14,Denied,2020-11-28,3,Maine
15,Incomplete,2022-10-29,1,Wisconsin
16,Denied,2021-09-08,2,Nevada
17,Incomplete,2021-02-22,2,South Dakota
18,Completed,2020-09-26,2,Michigan
19,Completed,2021-11-21,2,New Mexico
20,Incomplete,2022-07-26,3,Wisconsin
21,Denied,2022-01-18,3,Pennsylvania
22,Completed,2023-04-28,2,Washington
23,Incomplete,2023-01-28,2,Alabama
24,Denied,2020-10-28,3,New Jersey
25,Incomplete,2021-01-21,1,Wyoming
26,Completed,2022-09-08,1,Arkansas
27,Completed,2022-02-21,3,Oklahoma
28,Completed,2022-01-12,3,Mississippi
29,Denied,2021-05-17,2,Arkansas
30,Incomplete,2021-01-16,1,Alabama
31,Incomplete,2020-09-16,2,Hawaii
32,Denied,2022-08-16,3,Idaho
33,Completed,2022-09-04,1,Maryland
34,Completed,2021-09-06,2,Montana
35,Incomplete,2021-10-11,2,Louisiana
36,Denied,2023-01-15,3,Maine
37,Incomplete,2020-11-15,2,Alaska
38,Completed,2023-03-21,3,New Hampshire
39,Denied,2021-06-26,1,West Virginia
40,Incomplete,2022-03-02,3,South Carolina
41,Completed,2022-03-21,1,Connecticut
42,Denied,2021-06-20,3,New Mexico
43,Completed,2022-10-30,3,North Dakota
44,Denied,2020-11-23,3,Kentucky
45,Denied,2021-02-24,1,South Carolina
46,Completed,2020-10-30,1,New Mexico
47,Denied,2021-07-29,1,West Virginia
48,Incomplete,2020-12-27,2,Virginia
49,Denied,2021-04-21,1,North Dakota
50,Denied,2020-12-09,3,Oklahoma
51,Incomplete,2021-07-01,1,Hawaii
52,Incomplete,2022-11-01,1,Idaho
53,Incomplete,2022-06-18,1,Montana
54,Completed,2021-04-14,2,Colorado
55,Incomplete,2021-12-02,2,Oregon
56,Denied,2021-10-08,1,West Virginia
57,Denied,2020-08-16,1,Indiana
58,Denied,2023-04-14,2,Vermont
59,Completed,2021-12-21,2,New Hampshire
60,Denied,2022-10-22,2,Oklahoma
61,Denied,2020-07-24,3,Vermont
62,Completed,2023-06-09,2,Vermont
63,Incomplete,2020-08-11,3,Alaska
64,Denied,2022-10-04,1,Arizona
65,Incomplete,2021-07-25,1,West Virginia
66,Denied,2021-05-03,3,Maryland
67,Denied,2022-01-14,3,Delaware
68,Denied,2020-12-10,2,Nebraska
69,Incomplete,2022-01-08,2,Montana
70,Incomplete,2022-04-15,2,Virginia
71,Completed,2022-10-31,3,Virginia
72,Completed,2022-09-04,3,Kansas
73,Incomplete,2023-03-23,3,Rhode Island
74,Incomplete,2023-04-06,1,Idaho
75,Denied,2021-01-29,1,Minnesota
76,Denied,2021-07-21,2,Tennessee
77,Incomplete,2020-09-15,2,Maryland
78,Incomplete,2022-01-19,1,Illinois
79,Completed,2023-04-25,3,Nebraska
80,Denied,2022-09-06,1,Alabama
81,Incomplete,2021-10-06,1,Oregon
82,Completed,2020-12-25,3,Indiana
83,Completed,2022-04-30,3,Connecticut
84,Completed,2023-04-24,3,New Hampshire
85,Denied,2023-04-29,3,Oklahoma
86,Denied,2022-04-12,1,Michigan
87,Incomplete,2021-10-08,2,Ohio
88,Completed,2023-01-07,1,Iowa
89,Denied,2021-08-25,2,South Dakota
90,Incomplete,2021-05-11,2,Illinois
91,Denied,2021-05-13,1,Tennessee
92,Completed,2021-04-30,1,Minnesota
93,Incomplete,2022-01-25,3,Illinois
94,Incomplete,2021-07-07,1,New Jersey
95,Denied,2021-02-06,1,Michigan
96,Incomplete,2023-04-04,2,Nebraska
97,Completed,2022-05-04,1,Idaho
98,Incomplete,2021-08-05,1,Missouri
99,Denied,2023-02-16,3,Hawaii
100,Incomplete,2021-01-29,1,Utah
101,Denied,2022-12-06,2,Delaware
102,Denied,2023-05-04,1,Michigan
103,Denied,2021-10-07,1,Wyoming
104,Denied,2023-05-19,2,Arizona
105,Incomplete,2020-08-20,1,Rhode Island
106,Completed,2022-11-30,3,Idaho
107,Denied,2021-07-20,3,Mississippi
108,Incomplete,2023-02-17,3,South Carolina
109,Incomplete,2021-09-03,1,Texas
110,Incomplete,2021-05-25,3,Massachusetts
111,Completed,2021-12-24,2,Delaware
112,Completed,2022-06-19,1,North Carolina
113,Denied,2022-07-04,2,Washington
114,Completed,2022-11-09,3,New Jersey
115,Incomplete,2021-08-14,1,Arkansas
116,Incomplete,2023-01-31,2,Missouri
117,Completed,2021-04-03,1,Arizona
118,Completed,2021-08-10,3,North Carolina
119,Completed,2020-12-27,1,Texas
120,Incomplete,2022-09-17,3,California
121,Denied,2022-08-23,3,Tennessee
122,Denied,2023-03-07,3,Nebraska
123,Denied,2022-02-09,3,Minnesota
124,Denied,2021-07-06,1,Pennsylvania
125,Completed,2020-07-30,1,Wisconsin
126,Denied,2022-09-23,1,Michigan
127,Incomplete,2022-06-04,1,Oklahoma
128,Incomplete,2022-12-09,3,Alaska
129,Denied,2020-09-18,3,Arizona
130,Completed,2020-11-27,2,Idaho
131,Denied,2022-01-13,2,South Dakota
132,Completed,2021-01-04,3,Illinois
133,Denied,2023-06-14,1,Nevada
134,Completed,2022-08-28,2,South Carolina
135,Completed,2022-06-27,3,Maryland
136,Completed,2022-12-25,3,Utah
137,Incomplete,2021-06-23,2,Connecticut
138,Completed,2021-03-09,3,Hawaii
139,Incomplete,2021-11-11,1,Wisconsin
140,Denied,2022-05-15,3,South Dakota
141,Denied,2021-10-08,1,Utah
142,Denied,2020-06-25,2,Oklahoma
143,Completed,2021-02-14,3,Rhode Island
144,Completed,2021-12-22,1,Wyoming
145,Denied,2022-10-10,3,Pennsylvania
146,Completed,2022-11-06,2,South Carolina
147,Denied,2022-08-15,1,Ohio
148,Denied,2021-03-30,2,Georgia
149,Denied,2022-10-17,2,Nevada
150,Denied,2022-07-06,2,Oregon
151,Incomplete,2021-11-01,3,Kentucky
152,Denied,2021-03-18,3,Minnesota
153,Completed,2021-08-10,2,Colorado
154,Incomplete,2022-01-26,1,Kentucky
155,Incomplete,2023-04-27,2,Michigan
156,Completed,2022-04-08,2,Maryland
157,Incomplete,2021-04-16,3,Utah
158,Denied,2021-12-27,3,Idaho
159,Incomplete,2021-06-30,1,North Carolina
160,Incomplete,2021-09-08,2,Iowa
161,Incomplete,2021-01-26,1,Florida
162,Incomplete,2023-03-10,1,Oregon
163,Denied,2021-02-26,1,Iowa
164,Denied,2021-12-01,1,Hawaii
165,Completed,2022-09-03,2,North Dakota
166,Completed,2022-04-19,2,Ohio
167,Completed,2023-05-23,3,Missouri
168,Incomplete,2021-07-16,1,Illinois
169,Denied,2023-01-26,3,Arizona
170,Denied,2022-06-13,2,Nebraska
171,Denied,2022-09-11,3,Alabama
