account_exception_id,account_id,employee_id,exception_date,exception_status,exception_type,description
1,14768,5107,2021-12-21,In progress,Unauthorized transaction,Suspicious transaction detected on the account
2,8164,17309,2020-12-19,In progress,Unauthorized transaction,Suspicious transaction detected on the account
3,21956,6507,2019-07-08,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
4,7256,5535,2022-01-19,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
5,19900,15273,2019-12-19,In progress,Unauthorized transaction,Suspicious transaction detected on the account
6,23788,18076,2020-12-23,In progress,Overdrawn account,Account balance dropped below zero
7,12310,4402,2022-12-11,Under investigation,Overdrawn account,Account balance dropped below zero
8,1875,21411,2021-08-06,In progress,Unauthorized transaction,Suspicious transaction detected on the account
9,21185,17036,2022-06-17,Resolved,Overdrawn account,Account balance dropped below zero
10,8378,549,2023-05-25,In progress,Unauthorized transaction,Suspicious transaction detected on the account
11,5466,14040,2022-01-10,Resolved,Overdrawn account,Account balance dropped below zero
12,6700,18670,2021-06-05,Resolved,Overdrawn account,Account balance dropped below zero
13,20785,15410,2023-06-15,Resolved,Overdrawn account,Account balance dropped below zero
14,17657,27926,2023-02-04,Under investigation,Unauthorized transaction,Suspicious transaction detected on the account
15,12836,12801,2019-11-19,Resolved,Account freeze,Account temporarily frozen due to suspected fraud
16,17190,1444,2019-08-26,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
17,13251,15224,2019-08-11,In progress,Unauthorized transaction,Suspicious transaction detected on the account
18,12122,25275,2021-08-24,Under investigation,Overdrawn account,Account balance dropped below zero
19,10924,23300,2023-05-06,In progress,Overdrawn account,Account balance dropped below zero
20,16316,13601,2021-12-24,Resolved,Unauthorized transaction,Suspicious transaction detected on the account
21,28150,5046,2021-07-15,Under investigation,Overdrawn account,Account balance dropped below zero
22,5828,12771,2022-04-03,Under investigation,Account freeze,Account temporarily frozen due to suspected fraud
23,25493,8478,2021-03-19,Under investigation,Overdrawn account,Account balance dropped below zero
24,5021,13065,2020-12-11,In progress,Account freeze,Account temporarily frozen due to suspected fraud
25,28877,13961,2021-09-02,In progress,Unauthorized transaction,Suspicious transaction detected on the account
