debt_id,debtor_name,debt_type,principal_amount,interest_rate,issue_date,maturity_date,collateral,guarantee,debt_status
1,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,Bonds,7233731,5,2021-04-22,2026-04-21,none,Summers-Montgomery,active
2,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,2803242,5,2021-04-03,2026-04-02,property,none,active
3,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,6382934,4,2021-03-29,2026-03-28,none,Baker-Campbell,active
4,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,Bonds,7458220,2,2020-06-04,2025-06-03,property,none,active
5,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,Bonds,9507957,4,2021-10-04,2026-10-03,none,Brown Holland and Marshall,active
6,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,Bonds,9306921,1,2022-04-09,2027-04-08,property,none,active
7,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,5145772,2,2021-07-12,2026-07-11,property,none,active
8,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,Bonds,3153045,4,2020-04-23,2025-04-22,property,none,active
9,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,3233580,5,2021-05-01,2026-04-30,property,none,active
10,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,7712068,3,2020-04-06,2025-04-05,none,Howard LLC,active
11,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,Bonds,4881353,5,2020-11-09,2025-11-08,none,Nguyen-Ramos,active
12,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,Bonds,7513589,2,2023-01-26,2028-01-25,none,Hicks Harvey and Burnett,active
13,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,6790772,4,2022-04-12,2027-04-11,property,none,active
14,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,6450101,2,2023-05-20,2028-05-18,none,Powell-Garrett,active
15,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,5977238,1,2022-06-18,2027-06-17,property,none,active
16,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,Bonds,4068548,4,2022-12-27,2027-12-26,property,none,active
17,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,Bonds,3924396,2,2021-04-30,2026-04-29,none,Black Crawford and Vazquez,active
18,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,Bonds,6092175,4,2023-05-18,2028-05-16,property,none,active
19,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,3905399,2,2022-04-26,2027-04-25,none,Holt-Lee,active
20,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,Bonds,4020029,1,2021-05-02,2026-05-01,property,none,active
21,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,Bonds,6847647,4,2021-02-06,2026-02-05,none,Campbell-Petersen,active
22,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,4120759,2,2022-04-01,2027-03-31,property,none,active
23,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,Bonds,3607530,1,2020-02-10,2025-02-08,none,Schroeder Walters and Gallagher,active
24,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,5773892,5,2021-06-08,2026-06-07,none,Brown-Dean,active
25,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,Bonds,1524527,5,2020-04-18,2025-04-17,property,none,active
26,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,Bonds,3077800,5,2021-09-13,2026-09-12,property,none,active
27,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,9250280,4,2022-02-22,2027-02-21,property,none,active
28,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,2630492,4,2022-08-29,2027-08-28,none,Allen-Kramer,active
29,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,3272208,4,2022-04-12,2027-04-11,none,Martinez-Wagner,active
30,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,9085989,4,2022-03-01,2027-02-28,property,none,active
31,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,6645887,2,2021-01-17,2026-01-16,none,Dennis PLC,active
32,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,9358301,5,2021-12-29,2026-12-28,property,none,active
33,<bound method Provider.name of <faker.providers.person.en_US.Provider object at 0x00000291F2DAA2F0>>,loan,2414004,1,2022-10-14,2027-10-13,none,Giles-Chambers,active
