branch_id,branch_name,branch_code,branch_head_id,branch_address_line1,branch_address_line2,branch_city,branch_state,branch_zip,branch_telephone,email_address
1,Port Shannonton,40607,4628,Chad Points,0053 Karen Dale,Matthewberg,Colorado,27700,550-128-7116,padillanatasha@example.net
2,Nathanmouth,70374,13342,Brown Garden,0270 Dawn Extension Suite 870,Vanessachester,Alaska,06932,+1-166-714-8506x89856,zacharyowens@example.net
3,Shepardmouth,38023,10538,Reyes Shores,07770 Kathleen Squares,South Jerry,Maine,09654,114.718.4173x4924,walkerjames@example.net
4,Kristinton,99787,10600,Jennifer Shoal,0703 Morgan Freeway,South Brandon,Massachusetts,19679,001-259-391-0415x116,ajohnson@example.com
5,Wrightville,48838,14237,Marshall Trail,97632 Micheal Roads Apt. 231,Wilsonburgh,Texas,34296,200.378.3962x22536,tranmarc@example.org
6,South Kyleborough,10806,2216,Stacie Ways,4969 Patricia Mall Apt. 285,Fostershire,Illinois,60900,(605)515-1600,amoore@example.com
7,Cherylton,90119,11370,David Corners,046 Mark Freeway,Crystalchester,Colorado,43006,+1-691-689-9556,kaylamoore@example.com
8,Lisastad,85621,6553,Elizabeth Lights,319 Norton Club,New Joseph,Washington,72508,435-095-5716,abowers@example.org
9,East Wendychester,74365,10350,Patton Port,70557 Mills Hills Apt. 658,East Devonport,South Carolina,16845,(830)083-9576x10771,kevin74@example.com
10,Markmouth,90569,3851,Solomon Run,81188 Nicole Springs,Munozchester,Texas,80875,146-835-3598,smithkathryn@example.com
11,Port Shelbystad,44068,16207,Steven Forge,8119 Christopher Ridge,Richardshire,Vermont,15650,(039)276-8926,tjohnson@example.org
12,Hallport,79362,5994,Luis Court,2274 Jones Inlet,Robinsonstad,Maryland,98930,666-253-7263x7406,noahosborne@example.com
13,West Markborough,27247,17679,Guy Summit,9110 Weiss Vista,Hansenburgh,Delaware,49024,673.779.0198x8241,comptonmelvin@example.com
14,Valerieview,74241,5805,Wendy Fields,2623 Antonio Course,Wangside,Vermont,54032,310.801.3352x012,ujones@example.net
15,Conniestad,80908,4369,Henry Locks,57478 Matthew Extensions Suite 291,New Margaret,New Mexico,62838,(652)979-8752,awilliams@example.org
16,East Walterberg,76582,17496,Samantha Point,0631 Jimenez Crossroad,Port Johnport,Maine,13442,695-081-1496,claudia21@example.net
17,Adamshire,88301,11089,Makayla Squares,792 Allen Land,East Sheryl,Colorado,91985,(419)013-6659,awilliams@example.com
18,Tiffanyborough,82375,201,Carter Burg,24933 Sierra Spur Apt. 249,West Anthonymouth,Kentucky,96930,+1-291-014-9635x8899,chavezchristopher@example.net
19,Jamesmouth,53868,2671,Harris Rest,84751 Arroyo Mount Suite 740,West Brandonview,New York,23396,601.444.3883,john98@example.net
20,Lake Dennishaven,86608,2594,Lisa Manors,11366 Robinson Villages Apt. 884,South Julie,Louisiana,27010,665-390-8295x830,qrogers@example.com
