expenditure_id,asset_id,expenditure_date,expenditure_amount
1,421,2023-03-13,552
2,3502,2022-12-01,324
3,4119,2020-02-22,511
4,2367,2021-06-20,233
5,4366,2023-04-13,713
6,3258,2019-09-07,717
7,2212,2021-11-09,519
8,3093,2020-08-01,265
9,1328,2022-08-27,534
10,2028,2022-05-03,274
11,1649,2020-12-05,703
12,523,2020-01-31,426
13,134,2019-11-19,541
14,313,2021-09-29,563
15,1824,2022-09-21,160
16,3107,2021-03-20,693
17,1312,2020-01-31,374
18,2152,2021-05-12,638
19,1709,2022-05-30,591
20,1143,2022-12-28,440
21,3095,2021-08-10,521
22,1879,2021-12-17,401
23,801,2020-08-20,409
24,342,2019-10-06,681
25,4155,2019-12-05,686
26,3508,2019-09-02,276
27,4356,2020-12-27,480
28,3113,2023-02-16,346
29,1176,2020-09-21,610
30,3893,2020-08-29,290
31,2342,2022-02-26,235
32,3996,2021-10-28,311
33,2138,2021-08-13,359
34,3529,2023-03-18,481
35,726,2020-08-18,433
36,905,2023-03-12,111
37,1033,2023-01-17,686
38,1498,2020-10-20,246
39,3046,2021-10-20,272
40,1239,2021-04-01,446
41,1316,2021-03-17,381
42,1506,2019-08-19,375
43,863,2021-02-17,351
44,2929,2021-12-14,100
45,4136,2022-10-28,511
46,2516,2021-03-08,325
47,2894,2023-03-12,515
48,3438,2020-08-19,331
49,975,2020-12-14,504
50,990,2021-06-19,398
51,3587,2022-09-26,560
52,3529,2020-11-16,497
53,1657,2020-06-20,648
54,1333,2022-10-28,339
55,1118,2021-04-11,361
56,2351,2021-07-30,740
57,4156,2021-10-09,619
58,2091,2023-03-04,345
59,1769,2020-05-28,283
60,3989,2019-07-21,199
61,1187,2023-04-09,143
62,3424,2021-10-27,228
63,1155,2020-01-28,173
64,89,2020-03-11,593
65,1610,2020-04-29,366
66,1572,2021-12-10,584
67,1214,2022-10-28,583
68,1895,2019-11-11,527
69,1865,2022-09-24,232
70,2016,2023-03-25,543
71,4294,2021-01-10,492
72,3749,2021-08-28,617
73,4456,2020-11-01,491
74,367,2019-08-25,113
75,1359,2023-02-26,193
76,3386,2020-01-29,414
77,3385,2021-11-09,220
78,1838,2020-01-05,356
79,1482,2022-11-10,146
80,2522,2020-04-29,454
81,2599,2021-12-28,402
82,3693,2021-01-02,101
83,3961,2021-06-05,585
84,3173,2021-07-16,268
85,4254,2021-04-15,578
86,387,2021-08-10,571
87,4456,2021-08-10,205
88,4304,2022-06-25,612
89,2732,2019-07-31,556
90,3028,2020-10-10,121
91,3320,2023-06-07,511
92,1971,2022-11-11,524
93,1515,2020-10-06,148
94,3565,2021-07-30,107
