exception_id,customer_id,employee_id,open_date,review_date,doc_status,description,comments
1,20728,17210,2019-10-15,2020-02-10,Missing,Identity,
2,27791,16461,2021-02-25,2021-05-23,Exception,CIP Exception,ID has Expired
3,12318,14523,2021-01-21,2021-04-24,Exception,CIP Exception,ID has Expired
4,20372,15447,2020-08-26,2020-12-04,Exception,CIP Exception,Please re-scan ID Verification
5,17997,21017,2022-10-08,2022-12-04,Exception,Identity,
6,11154,23770,2021-02-10,2021-05-07,Exception,CIP Exception,ID has Expired
7,23181,18040,2020-06-06,2020-08-13,Exception,Identity,
8,18565,11490,2021-06-11,2021-09-04,Missing,Identity,
9,3524,14225,2023-01-08,2023-04-23,Exception,CIP Exception,ID has Expired
10,19854,24586,2020-02-25,2020-05-04,Exception,CIP Exception,ID has Expired
11,13241,10094,2019-08-18,2019-12-17,Exception,Identity,
12,10916,26650,2019-07-25,2019-11-27,Exception,CIP Exception,ID has Expired
13,5031,26249,2023-03-07,2023-03-07,Exception,CIP Exception,ID has Expired
14,24180,1050,2020-09-10,2021-01-11,Exception,Identity,
15,22353,17093,2020-12-02,2021-02-12,Exception,Identity,
16,7493,9075,2021-07-07,2021-09-04,Exception,Identity,
17,10343,1659,2022-11-11,2023-02-14,Exception,Identity,
18,1502,8453,2021-10-26,2022-02-10,Missing,CIP Exception,ID has Expired
19,8506,9894,2020-10-09,2021-01-26,Exception,Identity,
20,9757,5814,2020-03-31,2020-05-26,Missing,CIP Exception,Please re-scan ID Verification
21,25500,9399,2022-10-21,2023-02-13,Exception,CIP Exception,Please re-scan ID Verification
22,25179,12232,2019-09-08,2019-12-28,Exception,Identity,
23,8091,1689,2020-05-25,2020-08-24,Missing,CIP Exception,ID has Expired
24,553,14474,2022-12-24,2023-04-23,Missing,CIP Exception,Please re-scan ID Verification
25,6519,14797,2020-06-06,2020-10-02,Missing,CIP Exception,ID has Expired
26,28458,27279,2021-11-27,2022-03-25,Missing,Identity,
27,26080,26089,2020-10-17,2020-12-30,Missing,CIP Exception,Please re-scan ID Verification
28,7425,1155,2023-02-04,2023-02-04,Missing,CIP Exception,Please re-scan ID Verification
29,26754,10945,2023-01-06,2023-05-14,Missing,CIP Exception,Please re-scan ID Verification
30,13473,24085,2021-08-10,2021-10-07,Exception,Identity,
31,20108,20971,2023-03-11,2023-03-11,Exception,Identity,
32,2618,7396,2020-05-18,2020-08-20,Exception,Identity,
33,27728,1717,2020-12-23,2021-04-13,Exception,CIP Exception,ID has Expired
34,28312,5237,2019-10-29,2020-01-01,Missing,Identity,
35,10213,23291,2021-11-04,2022-01-08,Exception,Identity,
36,6607,15901,2020-04-26,2020-07-23,Missing,CIP Exception,Please re-scan ID Verification
37,3830,23072,2023-05-02,2023-05-02,Exception,Identity,
38,20567,14126,2023-01-05,2023-03-10,Exception,Identity,
39,6000,18619,2021-01-06,2021-04-14,Exception,CIP Exception,Please re-scan ID Verification
40,19494,12826,2020-07-15,2020-11-04,Missing,Identity,
41,24609,27991,2022-07-26,2022-10-24,Missing,Identity,
42,26314,5822,2021-10-22,2022-02-24,Missing,CIP Exception,Please re-scan ID Verification
43,27376,23008,2021-01-05,2021-03-15,Exception,Identity,
44,24692,10836,2022-06-03,2022-08-18,Exception,Identity,
45,20744,11135,2019-11-01,2019-12-30,Missing,CIP Exception,Please re-scan ID Verification
46,22516,2289,2022-01-09,2022-04-24,Missing,CIP Exception,ID has Expired
47,3615,3544,2021-06-08,2021-08-08,Missing,Identity,
48,18065,4251,2020-02-03,2020-04-08,Missing,CIP Exception,Please re-scan ID Verification
49,17549,16665,2022-04-02,2022-05-27,Exception,Identity,
50,25746,14052,2022-07-22,2022-11-03,Missing,CIP Exception,ID has Expired
51,824,28536,2020-09-09,2020-12-11,Exception,CIP Exception,Please re-scan ID Verification
52,15970,13759,2021-10-06,2021-12-17,Missing,Identity,
53,14884,18194,2022-12-31,2023-04-01,Missing,CIP Exception,Please re-scan ID Verification
54,25972,13305,2022-06-27,2022-08-16,Exception,Identity,
55,2309,25512,2021-06-11,2021-10-05,Missing,Identity,
56,22014,12921,2021-07-06,2021-11-10,Missing,Identity,
57,5331,13098,2022-11-13,2023-01-25,Exception,CIP Exception,Please re-scan ID Verification
58,27649,13270,2022-03-11,2022-07-15,Exception,Identity,
59,18897,25657,2022-08-16,2022-10-06,Exception,Identity,
60,4787,18397,2023-06-13,2023-06-13,Missing,CIP Exception,Please re-scan ID Verification
61,18142,26916,2019-11-28,2020-02-09,Missing,Identity,
62,24111,315,2020-04-14,2020-06-20,Exception,Identity,
63,18760,18769,2022-11-28,2023-04-02,Missing,CIP Exception,Please re-scan ID Verification
64,11904,22809,2020-06-12,2020-09-13,Exception,Identity,
65,1210,22893,2022-01-13,2022-03-15,Exception,CIP Exception,ID has Expired
66,14270,20225,2019-11-11,2020-01-01,Missing,Identity,
67,28781,17595,2019-08-07,2019-11-21,Exception,CIP Exception,Please re-scan ID Verification
68,4361,2627,2022-09-13,2022-12-21,Exception,CIP Exception,ID has Expired
69,17346,28104,2022-12-29,2023-03-04,Exception,Identity,
70,21569,10852,2022-01-19,2022-05-03,Missing,CIP Exception,ID has Expired
71,2325,25964,2022-10-19,2023-02-04,Missing,CIP Exception,ID has Expired
72,13093,8715,2019-12-24,2020-04-17,Missing,Identity,
73,13117,17580,2023-04-02,2023-04-02,Exception,CIP Exception,ID has Expired
74,7163,8615,2021-10-26,2022-02-06,Missing,CIP Exception,ID has Expired
75,1219,7644,2022-09-06,2022-12-20,Exception,Identity,
76,13142,25641,2021-11-28,2022-04-04,Exception,Identity,
77,28002,13404,2021-05-28,2021-08-11,Exception,CIP Exception,Please re-scan ID Verification
78,20858,20962,2020-06-15,2020-09-26,Missing,Identity,
79,8638,4059,2022-11-09,2023-01-30,Missing,Identity,
80,6040,25241,2022-04-29,2022-08-11,Exception,CIP Exception,Please re-scan ID Verification
81,10017,16907,2019-11-02,2020-01-05,Exception,Identity,
82,15267,4727,2021-11-09,2022-01-14,Missing,CIP Exception,ID has Expired
83,15966,17673,2021-10-30,2022-02-18,Missing,Identity,
84,19670,2600,2022-11-14,2023-01-15,Exception,Identity,
85,26260,24590,2022-02-22,2022-05-25,Missing,CIP Exception,Please re-scan ID Verification
86,669,8073,2021-11-10,2022-02-19,Exception,CIP Exception,ID has Expired
87,6042,21340,2019-12-14,2020-03-10,Missing,Identity,
88,27546,3570,2021-07-13,2021-09-19,Missing,CIP Exception,Please re-scan ID Verification
89,9190,8667,2021-07-10,2021-10-30,Missing,CIP Exception,ID has Expired
90,4747,4374,2021-12-11,2022-03-26,Missing,Identity,
91,27557,26048,2021-01-01,2021-03-01,Missing,Identity,
92,7423,2328,2019-08-21,2019-10-12,Exception,CIP Exception,Please re-scan ID Verification
93,28572,9109,2022-04-21,2022-07-13,Exception,CIP Exception,Please re-scan ID Verification
94,26348,16047,2021-10-19,2022-01-18,Exception,CIP Exception,ID has Expired
95,26102,27651,2019-11-23,2020-01-12,Missing,CIP Exception,Please re-scan ID Verification
96,27768,28484,2021-09-07,2022-01-10,Exception,CIP Exception,ID has Expired
97,17430,27258,2021-05-18,2021-07-28,Exception,CIP Exception,Please re-scan ID Verification
98,4373,14203,2022-09-13,2022-12-24,Exception,Identity,
99,23676,3894,2023-03-12,2023-03-12,Exception,CIP Exception,Please re-scan ID Verification
100,12542,16193,2019-11-11,2020-02-11,Exception,CIP Exception,ID has Expired
101,2982,9787,2022-03-28,2022-07-19,Missing,Identity,
102,17382,7988,2023-01-22,2023-03-29,Exception,Identity,
103,27492,27674,2020-04-08,2020-06-07,Missing,Identity,
104,3543,10274,2020-06-06,2020-10-14,Exception,Identity,
105,10812,1758,2022-08-28,2022-12-31,Missing,Identity,
106,21817,13961,2021-06-11,2021-09-12,Missing,CIP Exception,Please re-scan ID Verification
107,16333,3144,2020-02-27,2020-06-15,Missing,CIP Exception,ID has Expired
108,27083,18131,2020-07-07,2020-09-06,Exception,Identity,
109,7992,28636,2020-09-23,2021-01-26,Exception,Identity,
110,2815,17771,2022-03-04,2022-05-29,Missing,CIP Exception,Please re-scan ID Verification
111,444,7656,2022-06-13,2022-08-06,Missing,Identity,
112,18602,3140,2020-04-08,2020-06-07,Exception,Identity,
113,9366,3239,2022-12-29,2023-04-09,Missing,CIP Exception,Please re-scan ID Verification
114,28141,10684,2019-08-13,2019-12-05,Exception,Identity,
115,6762,17903,2021-12-06,2022-01-31,Exception,Identity,
116,27346,28585,2020-09-18,2020-12-25,Missing,Identity,
117,12512,8937,2023-04-05,2023-04-05,Exception,CIP Exception,ID has Expired
118,15976,2212,2021-11-14,2022-02-25,Missing,CIP Exception,ID has Expired
119,21456,12264,2021-02-28,2021-05-15,Missing,CIP Exception,ID has Expired
120,2010,17573,2022-06-24,2022-10-18,Exception,Identity,
121,1779,27878,2020-07-03,2020-09-04,Missing,CIP Exception,Please re-scan ID Verification
122,21799,3082,2020-03-18,2020-06-22,Missing,CIP Exception,ID has Expired
123,15484,20139,2021-02-24,2021-05-06,Exception,Identity,
124,814,20115,2021-06-06,2021-07-29,Missing,Identity,
125,22771,23088,2021-11-23,2022-03-11,Missing,Identity,
126,14435,4675,2020-04-04,2020-06-02,Missing,Identity,
127,19887,10547,2022-09-21,2023-01-21,Exception,Identity,
128,18277,22272,2023-06-30,2023-06-30,Missing,CIP Exception,ID has Expired
129,7603,5717,2022-12-15,2023-03-19,Missing,Identity,
130,4206,1216,2020-07-06,2020-09-10,Exception,Identity,
131,27667,22960,2021-01-18,2021-04-27,Exception,Identity,
132,5567,9715,2022-03-07,2022-06-24,Exception,CIP Exception,ID has Expired
133,90,2211,2020-03-28,2020-07-29,Missing,CIP Exception,Please re-scan ID Verification
134,19176,20042,2020-09-20,2021-01-06,Missing,Identity,
135,26721,26200,2022-09-07,2022-12-10,Exception,CIP Exception,ID has Expired
136,28057,28556,2020-07-29,2020-11-29,Missing,CIP Exception,ID has Expired
137,18277,9139,2020-07-09,2020-10-28,Exception,Identity,
138,12947,12930,2021-01-31,2021-05-17,Missing,Identity,
139,17293,26431,2021-05-04,2021-09-05,Missing,CIP Exception,ID has Expired
140,15929,2325,2020-06-22,2020-08-29,Exception,Identity,
141,21235,14537,2021-12-15,2022-03-18,Missing,CIP Exception,Please re-scan ID Verification
142,20645,28807,2020-11-25,2021-02-12,Missing,CIP Exception,Please re-scan ID Verification
143,21084,25221,2020-07-23,2020-09-12,Exception,Identity,
144,24331,15180,2022-06-18,2022-08-14,Exception,CIP Exception,ID has Expired
145,17493,12719,2023-04-26,2023-04-26,Exception,Identity,
146,22049,10936,2019-08-27,2019-10-28,Missing,CIP Exception,ID has Expired
147,12615,27737,2020-12-11,2021-03-25,Missing,CIP Exception,Please re-scan ID Verification
148,20391,12290,2023-02-27,2023-02-27,Missing,Identity,
149,1975,15836,2020-12-19,2021-03-23,Exception,CIP Exception,Please re-scan ID Verification
150,25789,25785,2021-09-18,2022-01-01,Exception,Identity,
151,3789,10260,2021-07-24,2021-09-14,Exception,Identity,
152,4604,26604,2020-04-02,2020-08-10,Missing,Identity,
153,26988,5018,2023-03-20,2023-03-20,Missing,CIP Exception,Please re-scan ID Verification
154,25981,24266,2023-01-31,2023-05-12,Missing,CIP Exception,ID has Expired
155,17317,26719,2022-07-01,2022-09-24,Missing,Identity,
156,18134,11643,2021-07-05,2021-11-08,Exception,Identity,
157,11601,13309,2023-01-10,2023-05-08,Missing,CIP Exception,ID has Expired
158,27241,9506,2022-07-15,2022-10-05,Missing,Identity,
159,16993,22093,2020-04-28,2020-08-17,Exception,CIP Exception,ID has Expired
160,16552,1310,2020-07-19,2020-11-18,Missing,CIP Exception,Please re-scan ID Verification
161,16712,26748,2022-05-28,2022-09-28,Exception,Identity,
162,21857,25247,2021-03-24,2021-05-16,Exception,Identity,
163,5877,3554,2022-11-29,2023-03-01,Exception,Identity,
164,25754,16381,2020-08-09,2020-12-16,Exception,Identity,
165,8254,23175,2022-04-18,2022-07-11,Missing,CIP Exception,Please re-scan ID Verification
166,516,9230,2022-11-21,2023-01-18,Missing,Identity,
167,13857,14049,2023-02-13,2023-02-13,Missing,Identity,
168,28747,6510,2022-10-24,2023-01-26,Missing,CIP Exception,ID has Expired
169,25259,23564,2022-04-06,2022-07-31,Exception,CIP Exception,ID has Expired
170,18892,10293,2021-04-06,2021-06-06,Missing,Identity,
171,4171,25296,2020-05-11,2020-07-19,Exception,CIP Exception,Please re-scan ID Verification
172,5052,2634,2021-04-19,2021-07-07,Exception,CIP Exception,Please re-scan ID Verification
173,11454,19686,2020-02-23,2020-06-23,Exception,CIP Exception,Please re-scan ID Verification
174,14959,24175,2022-06-17,2022-08-16,Exception,Identity,
175,3262,13094,2022-08-27,2022-11-09,Missing,Identity,
176,21098,26730,2020-04-25,2020-06-25,Exception,Identity,
177,28226,17947,2021-07-30,2021-11-18,Exception,CIP Exception,ID has Expired
178,19371,13740,2021-05-22,2021-07-20,Missing,Identity,
179,3591,21123,2022-12-01,2023-03-09,Missing,CIP Exception,ID has Expired
180,13575,2126,2021-08-26,2021-11-18,Missing,CIP Exception,Please re-scan ID Verification
181,17751,21911,2020-05-23,2020-07-27,Exception,CIP Exception,ID has Expired
182,15096,10431,2022-10-15,2023-02-15,Exception,Identity,
183,4631,28051,2021-08-14,2021-11-12,Exception,Identity,
184,6004,2423,2020-03-26,2020-05-22,Missing,Identity,
185,16776,24144,2021-10-24,2022-02-24,Exception,Identity,
186,14955,1407,2023-02-19,2023-02-19,Missing,Identity,
187,3899,8586,2021-07-21,2021-11-13,Missing,Identity,
188,18940,11863,2020-05-01,2020-08-31,Exception,Identity,
189,25948,28391,2021-06-13,2021-08-07,Exception,CIP Exception,ID has Expired
190,25319,24741,2019-12-08,2020-03-26,Exception,CIP Exception,ID has Expired
191,3718,28939,2022-06-17,2022-10-20,Missing,CIP Exception,Please re-scan ID Verification
192,9071,23955,2021-08-27,2021-10-22,Exception,Identity,
193,1147,10400,2023-01-14,2023-05-06,Missing,CIP Exception,ID has Expired
194,8367,28505,2023-04-20,2023-04-20,Exception,Identity,
195,21192,10002,2021-06-19,2021-09-02,Exception,Identity,
196,17589,21094,2019-10-11,2020-01-26,Exception,CIP Exception,ID has Expired
197,13333,1656,2022-07-17,2022-11-18,Exception,CIP Exception,ID has Expired
198,8038,25788,2020-07-12,2020-11-17,Exception,Identity,
199,16466,19167,2019-10-25,2020-01-30,Exception,CIP Exception,Please re-scan ID Verification
200,2771,9316,2022-06-16,2022-08-22,Missing,CIP Exception,ID has Expired
201,16802,3942,2023-03-14,2023-03-14,Exception,CIP Exception,Please re-scan ID Verification
202,9115,28663,2021-02-14,2021-06-16,Missing,CIP Exception,ID has Expired
203,8097,23878,2022-02-02,2022-05-18,Exception,CIP Exception,Please re-scan ID Verification
204,15560,19899,2021-04-09,2021-06-13,Missing,Identity,
205,7748,13940,2022-04-16,2022-08-14,Missing,Identity,
206,27114,22487,2019-11-13,2020-02-11,Missing,CIP Exception,Please re-scan ID Verification
207,23912,14185,2021-06-17,2021-08-13,Missing,Identity,
208,14281,11379,2022-07-08,2022-10-08,Missing,CIP Exception,Please re-scan ID Verification
209,1288,8554,2019-10-12,2020-01-04,Exception,Identity,
210,4826,12506,2022-05-05,2022-07-20,Exception,CIP Exception,Please re-scan ID Verification
211,19107,21341,2021-03-20,2021-06-15,Missing,CIP Exception,ID has Expired
212,15449,2611,2020-08-27,2020-10-31,Missing,Identity,
213,281,24623,2022-03-16,2022-07-16,Exception,CIP Exception,ID has Expired
214,2754,4747,2020-02-27,2020-06-02,Missing,Identity,
215,20073,2492,2021-10-01,2022-02-02,Exception,Identity,
216,21583,17800,2020-11-28,2021-03-29,Exception,Identity,
217,9827,267,2022-01-01,2022-05-06,Exception,Identity,
218,12190,18760,2023-04-08,2023-04-08,Exception,Identity,
219,19003,13803,2021-05-14,2021-07-22,Exception,Identity,
220,25769,25416,2020-02-06,2020-06-07,Missing,CIP Exception,Please re-scan ID Verification
221,5228,21496,2020-06-04,2020-07-25,Missing,Identity,
222,25099,24644,2019-11-14,2020-01-18,Missing,Identity,
223,16849,15054,2020-09-16,2020-11-18,Missing,CIP Exception,Please re-scan ID Verification
224,25588,15749,2022-11-10,2023-01-07,Exception,Identity,
225,24240,11716,2020-07-10,2020-11-03,Missing,CIP Exception,ID has Expired
226,17790,22972,2022-09-13,2022-11-04,Exception,CIP Exception,Please re-scan ID Verification
227,17931,4272,2022-10-23,2023-01-07,Missing,CIP Exception,Please re-scan ID Verification
228,21466,12627,2023-06-21,2023-06-21,Exception,Identity,
229,9003,14728,2020-07-16,2020-11-10,Exception,CIP Exception,Please re-scan ID Verification
230,3864,1735,2020-01-30,2020-05-21,Missing,CIP Exception,ID has Expired
231,15285,7328,2020-09-21,2020-12-02,Missing,CIP Exception,ID has Expired
232,2026,3273,2021-06-09,2021-08-16,Exception,Identity,
233,12227,16321,2022-08-21,2022-10-25,Missing,CIP Exception,Please re-scan ID Verification
234,4300,22056,2020-04-27,2020-07-28,Missing,CIP Exception,ID has Expired
235,9140,21819,2022-03-23,2022-05-27,Missing,Identity,
