Credit Index,Scheduled Calls ,Scheduled emails,Interest,Paid,Due,Balance,Date,City
58,2,8,6,13,33,69,1/2/2022,Grand Rapids
50,6,7,7,88,11,37,4/26/2023,Duluth
93,1,5,8,83,82,60,2/1/2022,College
99,9,6,8,1,31,27,12/23/2022,Bowling Green
56,9,6,6,82,28,37,7/5/2023,Lansing
44,2,6,6,14,23,71,9/2/2022,Seattle
89,1,5,3,48,75,5,1/9/2022,Frankfort
72,6,6,7,23,81,75,11/13/2022,Gresham
79,3,7,3,12,74,76,5/8/2023,Springfield
98,5,8,10,42,60,36,5/11/2022,Worcester
46,1,7,3,46,71,22,10/14/2022,Bowling Green
92,9,7,6,55,59,22,2/28/2023,Dallas
51,8,5,8,60,86,22,6/23/2022,Philadelphia
85,7,8,7,59,83,55,9/24/2022,Chattanooga
59,3,6,6,21,25,90,5/5/2023,Norman
77,2,8,7,10,17,73,3/5/2022,Lincoln
100,10,7,6,78,35,24,2/12/2023,Nampa
73,6,5,4,10,75,53,7/24/2023,Juneau
75,1,6,10,63,44,57,8/17/2022,Hillsboro
54,1,8,8,7,17,75,7/21/2023,Kaneohe
60,9,5,3,1,6,88,7/26/2022,Louisville
84,7,6,3,15,71,33,9/1/2022,Minneapolis
49,1,6,2,8,98,35,11/15/2023,Boise
89,8,7,0,71,97,27,5/10/2023,Warren
67,9,7,4,90,21,41,8/23/2022,Orlando
92,5,7,6,41,3,59,3/24/2022,North Las Vegas
40,5,7,5,83,25,27,7/16/2022,Tulsa
69,9,6,4,11,93,70,12/18/2022,Meridian
98,9,5,9,28,22,82,2/23/2022,Lawton
72,5,6,6,89,86,25,6/19/2022,Madison
90,3,7,9,15,34,15,1/12/2022,Springfield
86,7,7,5,97,32,40,11/4/2023,Columbus
78,8,8,2,35,77,67,8/18/2023,Grand Island
90,8,6,6,57,22,14,4/22/2023,Boston
64,1,6,5,97,81,91,1/19/2022,Warren
48,4,5,5,67,74,92,1/23/2023,Chesapeake
99,1,7,7,43,96,80,2/1/2023,Juneau
58,9,8,1,92,45,41,10/30/2022,Columbia
73,3,6,8,46,4,84,7/27/2023,Lowell
63,7,7,1,75,68,14,11/15/2023,Metairie
58,6,6,10,12,24,2,4/12/2023,Salt Lake City
44,2,6,2,76,80,45,5/7/2023,Kapolei
71,7,6,1,83,5,54,2/1/2023,Vancouver
95,3,6,1,91,61,39,9/17/2022,Gulfport
94,9,7,10,33,26,75,12/16/2022,Wyoming
66,1,7,8,7,51,2,2/19/2022,Broken Arrow
94,9,5,9,36,27,31,9/13/2023,Baton Rouge
82,5,7,7,29,71,41,6/12/2023,Honolulu
98,0,8,1,26,75,11,1/9/2022,Columbia
62,10,7,3,42,18,42,5/12/2023,Pittsburgh
61,6,7,5,35,87,86,6/29/2022,Burlington
82,9,6,5,94,26,8,9/13/2023,Augusta
97,8,5,2,75,53,6,9/30/2022,Rockville
48,3,7,5,82,18,90,12/28/2023,Annapolis
63,2,7,9,56,1,64,7/6/2023,Harrisburg
42,2,5,1,50,49,13,6/3/2022,Portland
49,2,5,8,70,42,8,11/3/2023,Rutland
73,6,5,5,18,81,82,1/14/2022,Springdale
86,1,6,7,28,78,1,8/29/2023,Fort Wayne
86,0,5,2,42,61,69,4/22/2022,Fresno
74,0,6,2,16,57,56,7/21/2023,South Bend
88,7,5,8,68,54,13,6/15/2023,Rochester
63,9,6,4,33,3,93,2/14/2022,Georgia
