exception_id,customer_id,employee_id,Open_date,"Review_date,doc_status, description, comments",,,
1,4100,3544,2014-08-18,2016-04-05,Exception,CIP Exception,ID has Expired
2,20588,21674,2019-11-22,2021-05-03,Exception,Identity,
3,9358,27382,2014-11-05,2016-05-17,Missing,CIP Exception,ID has Expired
4,11865,1984,2016-06-14,2017-12-12,Exception,Identity,
5,14159,7640,2013-03-07,2014-09-24,Exception,CIP Exception,ID has Expired
6,9230,2398,2012-08-11,2014-01-05,Missing,Identity,
7,25784,4280,2020-07-07,2022-01-03,Exception,CIP Exception,Please re-sacn ID Verification
8,12455,4730,2018-06-22,2019-12-26,Missing,Identity,
9,26858,13113,2014-03-17,2015-11-06,Missing,Identity,
10,5646,20540,2016-06-30,2017-12-25,Exception,CIP Exception,ID has Expired
11,18302,22095,2015-02-21,2016-08-06,Missing,Identity,
12,23804,22831,2011-05-03,2012-10-30,Missing,Identity,
13,13003,10309,2010-09-02,2012-03-12,Missing,CIP Exception,Please re-sacn ID Verification
14,7210,21868,2018-04-23,2019-11-19,Exception,Identity,
15,19875,7265,2010-05-27,2011-12-10,Missing,Identity,
16,22570,12996,2013-11-06,2015-04-10,Missing,Identity,
17,16167,23752,2014-04-07,2015-10-19,Missing,Identity,
18,833,15570,2016-01-11,2017-06-27,Missing,Identity,
19,26330,26062,2015-11-24,2017-04-25,Exception,CIP Exception,ID has Expired
20,23448,14326,2014-08-29,2016-03-15,Exception,Identity,
21,24078,16450,2010-05-03,2011-12-05,Missing,CIP Exception,ID has Expired
22,5422,21482,2013-02-14,2014-07-10,Exception,CIP Exception,ID has Expired
23,24255,12732,2016-10-09,2018-06-01,Missing,CIP Exception,Please re-sacn ID Verification
24,20596,9467,2016-05-23,2017-12-05,Missing,CIP Exception,ID has Expired
25,14377,21878,2015-05-14,2016-10-21,Exception,Identity,
26,23315,7727,2010-02-24,2011-08-19,Exception,Identity,
27,18080,26361,2012-05-03,2013-10-06,Exception,Identity,
28,6444,4272,2018-12-11,2020-05-22,Exception,Identity,
29,4015,6645,2018-01-22,2019-07-05,Exception,CIP Exception,ID has Expired
30,14290,989,2015-08-19,2017-02-25,Exception,Identity,
31,21112,2072,2014-02-06,2015-08-16,Exception,Identity,
32,18418,3600,2018-07-15,2020-01-11,Missing,Identity,
33,8011,10658,2018-11-11,2020-05-22,Missing,CIP Exception,Please re-sacn ID Verification
34,25314,24815,2012-02-17,2013-07-26,Exception,Identity,
35,18225,22877,2013-04-01,2014-09-16,Missing,Identity,
36,13632,24062,2016-11-23,2018-06-28,Exception,CIP Exception,Please re-sacn ID Verification
37,13976,27300,2016-09-05,2018-03-01,Missing,CIP Exception,Please re-sacn ID Verification
38,11872,17235,2016-09-24,2018-04-05,Missing,Identity,
39,6631,24016,2020-01-14,2021-08-22,Exception,CIP Exception,Please re-sacn ID Verification
40,20325,11978,2019-10-26,2021-04-28,Exception,Identity,
41,26413,23230,2010-07-05,2012-01-29,Exception,CIP Exception,ID has Expired
42,22526,8099,2019-10-29,2021-03-23,Exception,CIP Exception,Please re-sacn ID Verification
43,25076,8646,2017-12-24,2019-05-25,Missing,CIP Exception,ID has Expired
44,5941,20255,2016-01-17,2017-06-10,Missing,CIP Exception,ID has Expired
45,9701,787,2013-08-26,2015-01-16,Missing,CIP Exception,ID has Expired
46,11584,14776,2020-08-01,2022-01-30,Exception,CIP Exception,Please re-sacn ID Verification
47,12045,21201,2018-09-27,2020-04-13,Missing,Identity,
48,18057,20266,2010-02-03,2011-06-24,Exception,CIP Exception,Please re-sacn ID Verification
49,18825,2055,2011-06-14,2013-01-10,Missing,CIP Exception,ID has Expired
50,21795,5410,2015-03-03,2016-07-25,Exception,CIP Exception,Please re-sacn ID Verification
51,6226,4495,2019-08-02,2021-03-21,Exception,Identity,
52,16572,20928,2016-02-18,2017-07-21,Exception,Identity,
53,20063,8743,2015-05-10,2016-10-28,Missing,Identity,
54,22229,14462,2010-09-15,2012-03-26,Exception,Identity,
