satisfaction_id,application_id,loan_id,satisfaction_score,"feedback,date"
1,1524,3207,2,Station sometimes past discussion clear school old. Note often common statement. President sure risk still strong commercial.,2022-01-28
2,6340,2427,1,Budget such pick guess talk network rate. Force worker then expert business go.,2021-11-08
3,4765,703,5,Mother hand him stop PM.,2021-08-02
4,4299,5835,2,Base thus analysis subject. Tend point cover unit any seven go. Education similar man black force worry necessary.,2021-08-06
5,7860,2139,2,Cut whatever daughter direction music lead face. Red lot local price house view. Deal stand eat child everybody.,2022-05-04
6,3631,5614,3,However cup technology against office second. Wear positive cut street trip.,2021-09-24
7,6307,2096,4,Market believe another dark trip think somebody what. Leave film toward resource. Civil likely stand little small.,2021-11-07
8,5977,114,2,Need most receive for. Wide whom beat also along. Operation live as best. Scientist pick left fact.,2022-06-13
9,8785,297,5,Available remain pull enough one. Social certainly as car. Operation thousand campaign research together structure experience.,2022-06-10
10,3063,4332,2,Goal where something serve. Employee strong machine happen among. Need while before mother yes.,2021-09-27
11,6396,3238,2,Training staff certainly effect rate accept across. During oil do similar young water mouth play.,2021-09-17
12,3217,8068,1,Easy fill everybody just. Law stand drive second.,2021-11-15
13,3963,4228,5,High hold agent simply business. Exist ask true score they then.,2022-03-03
14,7592,6245,4,School appear feeling question for deal try yes. Behind number identify here.,2022-04-27
15,8941,5683,5,Natural question bar major reflect street and natural. Yard east record.,2022-06-18
16,8212,9778,4,Medical worker experience beautiful behind hotel property. Back music option thousand. Section or court keep from. Must church TV east.,2021-08-26
17,1337,8348,2,Our range born voice for may. Guess point instead southern need your.,2021-07-16
18,7231,2495,3,Foreign such show find southern age how. Suddenly perform color region travel. Reason add explain energy.,2022-03-02
19,1620,8024,2,Pattern clearly one figure tree TV with. Close want security him piece. If order environmental there note.,2022-03-28
20,4967,1488,5,Girl trip system cause. Entire good hour tax stay modern including work.,2021-09-19
21,197,7943,3,Late part degree model eye wife season. East today clear next. So work experience road figure produce. Court agree myself interesting probably.,2021-11-24
22,6779,9698,1,Discuss though player push face surface policy. Base church hair official probably responsibility enough. Cover later statement.,2022-05-14
23,3848,9266,4,Lot treatment could every country rather body. Individual pick both cup. Respond figure school oil.,2022-06-04
24,3387,8954,3,May view conference bill let summer generation. Unit notice rich military participant again scientist short. Else away public market with.,2021-10-05
25,6029,8034,4,Reason usually receive indicate method. Ten finally poor.,2021-12-21
26,9582,488,4,Rule weight foreign. Ahead still lose cover address. Stop better war lawyer.,2021-10-29
27,817,5745,3,Long very different word bad source. To tend thousand toward. Meeting begin approach physical.,2021-11-18
28,3601,6959,2,State prevent instead less paper. Yeah common simply daughter side.,2021-09-18
29,9067,421,3,Wish maybe continue answer. Consumer culture traditional country think billion century.,2022-01-23
30,1098,4466,1,Nearly contain five special own mouth reflect. Difference her somebody science.,2021-11-14
