expense_id,expense_date,expense_amount,description,department_id
1,2020-08-26,8748,expense related to capital market operations,3
2,2020-08-14,2488,expense related to cash management for businesses,2
3,2022-05-01,6509,expense related to treasury activities,7
4,2021-04-06,4830,expense related to technology upgrades,5
5,2021-08-30,3715,expense related to personalized advisory services for affluent customers,4
6,2023-04-22,2267,expense related to liquidity management,7
7,2021-03-06,3043,expense related to savings account,1
8,2020-07-27,4340,expense related to personalized advisory services for affluent customers,4
9,2019-12-25,5112,expense related to risk assessment,6
10,2022-01-17,8813,expense related to customer acquisition strategies,9
11,2023-06-28,4768,expense related to trade finance,2
12,2023-01-29,9198,expense related to capital market operations,3
13,2022-02-25,1256,expense related to technology upgrades,5
14,2019-11-10,7075,expense related to personalized advisory services for affluent customers,4
15,2022-06-06,8348,expense related to personalized advisory services for affluent customers,4
16,2023-07-01,3106,expense related to employee recruitment,8
17,2023-04-11,8174,expense related to trading operations,7
18,2020-05-11,8799,expense related to financial planning,4
19,2021-10-27,7035,expense related to mergers and acquisitions,3
20,2022-05-16,1727,expense related to cybersecurity measures,5
21,2022-09-27,7469,expense related to credit cards,1
22,2022-12-01,5090,expense related to employee recruitment,8
23,2022-11-20,9694,expense related to internal controls,6
24,2022-06-17,7339,expense related to employee recruitment,8
25,2021-01-07,1532,expense related to savings account,1
26,2022-06-03,8778,expense related to internal controls,6
27,2021-05-04,8272,expense related to risk assessment,6
28,2022-12-05,2933,expense related to mergers and acquisitions,3
29,2019-07-07,6917,expense related to training and development,8
30,2021-02-05,7121,expense related to trading operations,7
31,2023-01-07,8003,expense related to internal controls,6
32,2022-04-28,7138,expense related to employee recruitment,8
33,2021-03-09,8205,expense related to cybersecurity measures,5
34,2020-06-23,8418,expense related to treasury activities,7
35,2020-10-20,2224,expense related to marketing campaigns,9
36,2022-09-16,7905,expense related to compliance monitoring,6
37,2021-12-07,7352,expense related to capital market operations,3
38,2022-10-09,3930,expense related to compliance monitoring,6
39,2020-02-12,8563,expense related to employee recruitment,8
40,2022-08-21,5311,expense related to risk assessment,6
41,2019-10-16,1803,expense related to market research,9
42,2022-06-06,6201,expense related to employee recruitment,8
43,2021-12-28,3140,expense related to internal controls,6
44,2021-10-23,1160,expense related to technology upgrades,5
45,2019-08-05,3531,expense related to commercial loans,2
46,2023-04-02,7772,expense related to savings account,1
47,2022-07-31,2219,expense related to cash management for businesses,2
48,2023-04-02,8563,expense related to cash management for businesses,2
49,2022-11-12,9060,expense related to customer acquisition strategies,9
50,2019-08-27,6485,expense related to trading operations,7
51,2020-07-23,9452,expense related to savings account,1
52,2020-07-11,1852,expense related to financial planning,4
53,2022-05-13,4858,expense related to market research,9
54,2023-04-25,7005,expense related to capital market operations,3
55,2023-01-28,6718,expense related to performance management,8
56,2023-06-07,5431,expense related to employee recruitment,8
57,2020-07-08,6490,expense related to marketing campaigns,9
58,2019-10-25,2421,expense related to back-office operations,5
59,2022-01-01,2547,expense related to trading operations,7
60,2022-04-19,6634,expense related to customer acquisition strategies,9
61,2022-12-14,3799,expense related to investment management,4
62,2020-03-30,5044,expense related to marketing campaigns,9
63,2020-03-13,2021,expense related to trade finance,2
64,2022-04-28,1339,expense related to personalized advisory services for affluent customers,4
65,2020-12-08,8174,expense related to financial planning,4
66,2020-06-10,2951,expense related to market research,9
67,2019-09-28,2834,expense related to back-office operations,5
68,2020-07-26,4652,expense related to technology upgrades,5
69,2020-10-04,8501,expense related to employee recruitment,8
