asset_id,asset_type,purchase_date,purchase_cost,current_cost
1,IT Software,2023-05-08,9350,9514
2,Building,2016-10-09,301437,331097
3,Equipment,2021-09-30,7604,4268
4,Building,2021-06-26,621641,663933
5,Equipment,2018-03-25,9698,1563
6,Building,2021-05-16,205739,276864
7,Land,2017-08-31,258513,604878
8,Land,2017-08-14,118788,245864
9,Equipment,2017-05-18,7045,3420
10,Land,2015-07-18,245171,708944
11,IT Software,2019-10-29,2091,2308
12,Building,2016-09-24,578757,635037
13,Building,2015-08-08,522761,537818
14,Vehicle,2018-03-16,23521,7545
15,Land,2020-03-18,471963,776179
16,Land,2021-09-15,191010,321888
17,Equipment,2018-04-26,7867,3677
18,Building,2018-04-29,391719,422527
19,Vehicle,2015-10-20,25940,9617
20,Vehicle,2015-07-15,47382,6691
21,Equipment,2021-06-10,6020,3785
22,Land,2015-10-11,220792,608412
23,IT Software,2019-07-16,18369,18697
24,IT Software,2023-04-23,8176,8694
25,IT Software,2017-07-03,6563,7456
26,IT Software,2018-08-27,17011,17857
27,Building,2019-06-19,431972,502792
28,Land,2016-04-11,378562,494320
29,Land,2021-04-08,419637,886503
30,IT Software,2016-01-17,14710,15250
31,Vehicle,2019-02-20,16472,8990
32,Vehicle,2016-02-20,31343,7291
33,Vehicle,2015-11-18,41067,9506
34,Land,2014-05-07,142978,591263
35,IT Software,2019-06-14,16815,16970
36,Land,2022-10-05,304009,675874
37,Equipment,2021-06-04,9803,3368
38,Equipment,2022-09-11,9458,2113
39,Land,2016-01-01,396494,671316
40,Equipment,2018-01-31,5819,2699
41,Building,2018-01-28,752854,815636
42,Building,2018-11-22,276129,348383
43,Land,2019-05-28,137438,475845
44,Equipment,2017-10-20,6339,4273
45,IT Software,2022-05-07,8828,9469
46,Equipment,2015-08-17,6254,3294
47,Building,2020-02-20,154195,194258
48,Vehicle,2016-10-27,28219,7238
49,Land,2016-08-10,351624,625055
50,Equipment,2014-05-27,9837,2579
51,Land,2020-03-29,305045,663855
52,Building,2021-12-23,356790,404193
53,Equipment,2016-09-30,5281,1761
54,Vehicle,2016-10-21,32623,7750
55,IT Software,2021-04-16,5489,6300
56,IT Software,2016-11-05,7722,7770
57,Vehicle,2018-03-19,28633,5166
58,Building,2020-01-09,687460,767034
59,Building,2014-11-01,950351,1005299
60,Land,2014-11-09,111160,469150
61,IT Software,2017-03-26,19118,19907
62,Vehicle,2020-07-27,42549,5425
63,Land,2015-11-11,184198,569306
64,Building,2018-06-08,520936,619150
65,IT Software,2019-05-12,14636,15017
66,Land,2021-09-13,347078,745722
67,Building,2015-02-25,198917,261971
68,Land,2018-03-28,427225,811087
69,Land,2022-03-07,229327,406708
70,IT Software,2016-05-22,5692,6404
71,IT Software,2021-12-10,14977,15740
72,Building,2021-05-02,618304,701354
73,Land,2022-12-09,146771,460351
74,IT Software,2018-08-01,4704,4772
75,Land,2019-07-04,217907,353221
76,Building,2020-09-10,933325,997736
77,Vehicle,2017-06-01,42042,8848
78,Building,2016-08-23,278938,365014
79,Equipment,2016-07-09,6592,2241
80,Land,2015-02-07,284160,705701
81,Equipment,2020-01-22,8935,3197
82,Vehicle,2017-11-26,34999,6263
83,Equipment,2020-06-13,8499,3535
84,Land,2016-11-29,109021,525222
85,Land,2016-12-15,357660,845525
86,Vehicle,2016-08-06,19530,5233
87,IT Software,2013-09-21,9990,10158
88,Building,2013-11-03,789675,869541
89,Land,2017-01-13,151535,371412
90,IT Software,2016-03-06,15011,15475
91,Equipment,2021-08-13,7934,3855
92,Land,2017-05-24,268099,516961
93,Equipment,2022-04-01,8324,4485
94,Building,2023-03-10,852908,901883
95,Equipment,2018-07-27,8411,2695
96,Building,2015-07-11,767806,795676
97,IT Software,2018-01-17,8128,8672
98,Vehicle,2014-08-27,44828,8112
99,IT Software,2014-02-19,17928,18300
100,Land,2014-03-16,364341,526785
101,Vehicle,2015-12-31,13843,5207
102,Equipment,2013-08-03,8404,2877
103,Equipment,2023-05-30,8505,3951
104,Building,2021-06-03,909356,963256
105,IT Software,2021-08-15,11429,12044
106,IT Software,2016-01-16,8020,8049
107,IT Software,2017-03-12,8875,9810
108,Building,2017-08-23,660454,715663
109,Equipment,2019-05-11,8392,3209
110,Vehicle,2014-10-14,34754,8031
111,IT Software,2019-08-15,19797,19943
112,Vehicle,2022-02-23,27614,6362
113,Vehicle,2020-10-07,41644,6653
114,IT Software,2019-03-16,14688,14796
115,Land,2022-06-23,117725,360336
116,Vehicle,2019-05-15,19646,6581
117,Land,2019-05-04,186387,441846
118,Land,2022-04-15,225216,345278
119,IT Software,2022-03-03,16344,16728
120,Vehicle,2016-06-17,31277,7677
121,Equipment,2020-08-06,9838,1226
122,Building,2016-02-29,601613,659261
123,IT Software,2014-12-17,13262,13275
124,Land,2020-02-16,232987,674215
125,Vehicle,2020-06-03,45988,5966
126,Land,2020-01-17,439713,769751
127,Land,2015-11-11,397516,619214
128,Building,2023-01-17,388418,440989
129,Vehicle,2020-06-17,33155,9358
130,Vehicle,2019-04-29,22848,9358
131,IT Software,2021-02-19,15131,15342
132,Building,2015-03-28,354582,365807
133,Land,2022-05-16,225429,411564
134,IT Software,2014-06-22,18434,18474
135,Equipment,2020-09-30,5949,2867
136,Building,2017-02-24,306566,344381
137,Vehicle,2020-06-18,10761,5774
138,Equipment,2019-06-05,6590,3191
139,Building,2014-10-08,980798,1047180
140,Building,2017-07-04,364268,443961
141,IT Software,2016-07-01,13999,14037
142,Equipment,2020-01-18,7917,1070
143,Land,2016-11-20,372951,721028
144,Land,2020-01-27,371392,684131
145,Building,2015-09-11,146325,161977
146,Building,2020-01-23,814524,843558
147,Equipment,2018-04-08,6363,3376
148,Building,2017-05-18,715909,736495
149,Building,2017-01-29,904520,947609
150,Vehicle,2021-11-15,48276,5731
151,Building,2015-11-25,513274,593830
152,Vehicle,2016-10-07,15821,9447
153,Land,2021-11-27,101625,368854
154,IT Software,2014-09-22,2251,2983
155,Building,2019-06-09,982892,1045447
156,Equipment,2021-11-16,6008,3002
157,Building,2014-07-14,183746,223375
158,Land,2021-04-21,229800,362631
159,IT Software,2014-07-12,7962,8141
160,Land,2021-12-14,400461,894005
161,Land,2013-10-10,124342,510337
162,IT Software,2020-07-15,18304,18481
163,IT Software,2022-03-19,16365,17360
164,Vehicle,2015-07-03,42762,8835
165,Building,2016-02-25,171706,233392
166,Equipment,2014-11-14,5996,3220
167,Land,2022-09-22,211221,402890
168,IT Software,2017-03-12,15656,15936
169,Vehicle,2021-10-10,30567,6994
170,Building,2016-11-13,245665,269887
171,Building,2022-02-10,300264,353492
