Collected,Brokerage,Assured,Target,Calls Completed,Calls Remaining,Date,City
6266,5206,1471,10501,24,20,1/2/2022,Grand Rapids
5060,3215,1965,11665,24,22,4/26/2023,Duluth
8381,2595,1498,11659,18,18,2/1/2022,College
8687,6486,1893,7916,17,14,12/23/2022,Bowling Green
5878,5976,852,13295,23,16,7/5/2023,Lansing
9436,6554,1696,8359,18,18,9/2/2022,Seattle
5805,4572,949,8819,16,24,1/9/2022,Frankfort
7908,6159,1739,12044,28,22,11/13/2022,Gresham
6801,7719,1545,7385,28,23,5/8/2023,Springfield
6953,3219,1470,7298,18,18,5/11/2022,Worcester
8047,7068,1249,12288,20,13,10/14/2022,Bowling Green
6549,6801,694,11839,30,19,2/28/2023,Dallas
8396,2036,1990,13255,23,21,6/23/2022,Philadelphia
8154,4232,1341,9389,20,14,9/24/2022,Chattanooga
7047,6650,1102,11897,24,15,5/5/2023,Norman
6434,3581,618,8941,16,19,3/5/2022,Lincoln
9868,6209,1473,9177,21,14,2/12/2023,Nampa
8697,4138,1478,13376,26,23,7/24/2023,Juneau
7462,4088,882,11134,16,18,8/17/2022,Hillsboro
6731,5065,1160,9880,29,18,7/21/2023,Kaneohe
8924,2292,571,8459,28,22,7/26/2022,Louisville
5933,6304,1551,13455,23,21,9/1/2022,Minneapolis
8765,4679,1420,10511,20,22,11/15/2023,Boise
8583,6165,561,10978,20,16,5/10/2023,Warren
9920,6873,1101,8529,22,15,8/23/2022,Orlando
7373,7493,1840,11862,25,12,3/24/2022,North Las Vegas
9158,7056,1532,13538,30,21,7/16/2022,Tulsa
7045,4629,1970,13401,23,15,12/18/2022,Meridian
7276,4829,848,11256,19,14,2/23/2022,Lawton
7844,7051,1437,7472,21,12,6/19/2022,Madison
8451,3421,619,13320,28,24,1/12/2022,Springfield
5092,7631,1433,11908,19,24,11/4/2023,Columbus
5935,7749,707,8468,23,19,8/18/2023,Grand Island
5800,3133,1108,11583,29,25,4/22/2023,Boston
5474,7795,608,12482,22,23,1/19/2022,Warren
5192,5072,651,10830,18,13,1/23/2023,Chesapeake
5569,3783,1556,10570,24,15,2/1/2023,Juneau
6457,6113,1573,10857,18,24,10/30/2022,Columbia
9843,7061,1894,12117,17,17,7/27/2023,Lowell
7841,2518,919,12739,17,19,11/15/2023,Metairie
8228,6120,982,11816,27,14,4/12/2023,Salt Lake City
8330,4316,826,7140,23,16,5/7/2023,Kapolei
8509,3331,1237,11484,25,22,2/1/2023,Vancouver
8402,7158,745,9196,26,12,9/17/2022,Gulfport
5374,6489,604,7470,22,15,12/16/2022,Wyoming
9297,2464,1079,13762,28,15,2/19/2022,Broken Arrow
9687,2215,1377,13885,26,13,9/13/2023,Baton Rouge
5578,5242,674,10748,20,23,6/12/2023,Honolulu
9064,5540,1956,11283,28,13,1/9/2022,Columbia
9319,5332,1224,13130,20,22,5/12/2023,Pittsburgh
6850,7639,880,12334,16,16,6/29/2022,Burlington
6136,5550,1492,10048,28,20,9/13/2023,Augusta
9831,6258,531,7715,22,16,9/30/2022,Rockville
7090,4939,1545,8755,26,24,12/28/2023,Annapolis
9883,6154,1356,10362,25,15,7/6/2023,Harrisburg
5849,5752,1203,7141,23,12,6/3/2022,Portland
9578,2726,1464,11635,15,17,11/3/2023,Rutland
8793,4642,1878,10557,19,25,1/14/2022,Springdale
5665,7901,900,12241,24,18,8/29/2023,Fort Wayne
9977,6059,612,10984,25,21,4/22/2022,Fresno
9383,4520,1378,7819,19,20,7/21/2023,South Bend
5344,3927,1816,7207,17,24,6/15/2023,Rochester
7037,4566,1411,8501,28,24,2/14/2022,Georgia
5128,2905,1079,10187,26,24,6/13/2022,Oklahoma City
5186,5779,1302,11080,23,22,4/9/2023,San Jose
7435,7423,1205,12173,16,14,8/7/2023,Cambridge
9770,4878,1347,7176,19,18,1/1/2023,Tallahassee
9024,4315,1169,9026,24,24,7/22/2023,Des Moines
7146,5257,1582,7274,17,18,7/26/2023,Cambridge
8678,6772,900,7127,15,23,3/7/2022,Overland Park
6241,7281,1176,8261,24,18,11/28/2023,Allentown
5680,4977,1673,7375,21,18,3/26/2023,Cheyenne
9163,4510,819,13959,19,12,6/25/2023,Lewiston
5518,5697,885,11503,15,13,4/25/2023,Frankfort
6767,2078,1707,13635,18,16,9/9/2023,Denver
6434,3269,1642,11903,29,17,10/24/2023,Los Angeles
6425,4583,826,9491,28,18,9/14/2023,Louisville
7080,3105,880,11421,17,14,11/25/2023,Sioux City
5130,2223,1109,7732,24,20,2/1/2022,Fort Wayne
7285,4499,1195,9976,25,21,3/14/2022,Lincoln
9607,6758,1902,11074,19,23,2/13/2022,Hattiesburg
5247,3114,1303,11436,23,22,6/17/2023,Tuscaloosa
7752,4272,703,9884,27,14,8/1/2023,Idaho Falls
9227,7207,659,7913,23,19,11/12/2022,Minneapolis
5470,5457,1916,11450,28,21,1/13/2023,Birmingham
5617,5953,1721,12469,25,20,8/25/2022,Houston
5490,5939,862,8061,24,17,2/1/2023,Great Falls
6447,6038,1784,8763,29,25,5/23/2023,Hillsboro
7869,4684,753,9863,25,16,10/3/2022,Dallas
6894,6524,1426,10596,25,17,12/6/2023,Lewiston
5593,5347,979,12407,27,13,4/5/2023,Fort Wayne
7483,3638,1439,12491,19,23,9/13/2023,Lexington
7042,7573,619,8603,16,16,12/30/2022,Paradise
9841,4656,1270,11944,25,20,8/11/2022,Eugene
9577,3807,1267,9187,25,15,12/2/2023,Lakewood
7325,2878,1193,10221,19,17,11/13/2022,Jefferson City
6825,5257,558,8939,18,23,6/8/2022,Kansas City
5680,2195,1487,9099,29,15,2/2/2022,Racine
5452,3221,1585,9472,29,24,3/23/2022,Jacksonville
9745,2450,1854,9944,23,21,7/22/2023,Portland
7342,2856,662,13517,29,13,5/29/2023,Baltimore
7509,3919,1632,11698,23,20,7/29/2022,Jonesboro
5886,3185,1189,7331,18,18,7/25/2022,Bowling Green
6665,6614,1944,11460,27,18,11/24/2023,Portland
8304,3269,1639,10227,24,18,4/1/2023,Clarksville
5283,5820,1715,7095,28,14,4/26/2022,Kapolei
6927,6526,716,13108,27,13,1/29/2022,Jacksonville
9257,2432,1074,12038,16,21,12/8/2022,Mesa
6612,6828,1183,9241,17,19,2/18/2022,Springdale
6111,6912,1164,12296,17,22,1/31/2022,Duluth
9685,6145,1077,12586,18,23,11/19/2022,Fort Collins
7543,7665,939,13442,15,23,1/26/2022,Lexington
7323,6485,917,9502,23,23,12/7/2022,Lawton
7852,2773,803,10999,24,18,5/13/2023,Gillette
8777,7334,1472,9312,17,16,3/26/2022,South Burlington
6435,7423,637,7038,17,21,11/8/2022,Grand Rapids
9551,2929,761,12571,22,17,12/1/2023,Kansas City
5320,4097,686,10277,27,15,6/5/2023,Sioux City
7146,5067,1972,11156,23,19,12/18/2023,Tulsa
7271,3678,1001,12714,20,14,2/10/2023,Tallahassee
7905,5803,1239,8490,24,15,12/13/2023,Erie
5272,6659,1301,8166,25,18,2/25/2022,Cedar Rapids
7456,2353,1252,12417,24,18,8/27/2022,Helena
7525,3553,679,12879,30,16,12/9/2022,Reno
9110,2272,1406,11764,27,19,9/14/2022,Kearney
9424,6505,1287,12917,19,15,10/30/2022,Kailua
7740,2149,1265,8444,23,14,11/30/2023,Joliet
7786,6999,1353,11865,29,23,5/9/2023,Cedar Rapids
9881,2625,1768,12151,29,20,8/11/2022,Annapolis
7118,7562,1292,13037,24,25,2/28/2023,Colorado Springs
7478,2163,1713,7179,22,20,9/27/2022,Erie
8308,5395,1382,13702,17,21,5/19/2023,Honolulu
8551,3171,1318,10312,20,15,6/25/2023,Erie
5157,6068,1195,7851,17,23,1/3/2023,Lansing
6500,3127,1075,12674,28,20,4/29/2022,Oklahoma City
6804,2510,654,8588,21,22,8/9/2023,Minneapolis
5406,6305,802,13035,22,13,4/16/2022,Green Bay
