application,property_id,loan_type_id,loan_amount,customer_id,account_id,applied_date,employee_id
1,33142,5,12873.82,48424,19657,2013-09-24,7125
2,1324,25,74383,78837,26736,2008-10-30,16960
3,76435,26,90821.36,75430,9988,2019-03-23,13315
4,45276,11,45201.73,18457,32090,2004-12-17,25188
5,43913,33,97430.39,70199,13534,2014-01-21,3755
6,67589,36,86726.38,98656,20438,2018-01-01,8797
7,20953,27,880.15,30987,24236,2022-08-31,35139
8,92823,24,43590.43,2970,23103,2016-12-21,19191
9,96484,36,83284.16,30021,3566,2006-12-13,17661
10,2188,37,62196.44,39396,22694,2020-08-31,23486
11,13352,37,99226.52,9567,7835,2014-11-24,18073
12,37187,39,47041.59,71818,24365,2016-09-09,12678
13,21288,31,19616.14,78334,5244,2021-06-02,34067
14,70083,36,57334.9,81341,13959,2007-02-08,30364
15,84001,26,54702.9,84559,1854,2008-01-12,9061
16,70985,6,40842.78,5229,12638,2007-12-01,2418
17,66751,26,33773.93,36567,24592,2019-05-28,8925
18,45162,38,28568.38,84589,11825,2022-10-02,24150
19,88243,17,28533.6,12026,5975,2007-10-20,11844
20,44022,8,2316.33,51789,3655,2003-10-25,19486
21,583,19,29754.91,13560,19756,2022-07-08,18829
22,86015,32,24642.29,88072,21215,2014-05-31,21456
23,93388,35,57717.82,88632,25829,2010-09-11,37962
24,20178,18,26595.5,56942,3919,2019-01-25,24845
25,11229,24,62111.43,68207,24212,2011-12-08,29118
26,68215,24,19327.49,64332,459,2016-05-05,19572
27,21809,16,82527.71,28403,1414,2004-12-20,32630
28,2755,36,54712.45,66115,1396,2017-11-08,5483
29,31671,40,25636.57,10258,13722,2008-05-28,14290
30,39894,14,87104.47,92945,10621,2009-02-28,20819
31,3780,14,70868.82,35318,6147,2010-06-01,14066
32,7020,11,62061.39,12596,9913,2017-08-08,32409
33,26107,24,55652.18,64574,32824,2010-08-10,6883
34,43241,39,70306.85,77932,7058,2019-07-20,9552
35,45314,18,14817.16,90813,10377,2008-08-26,33144
36,3559,40,77786.61,49941,14712,2005-07-07,37233
37,2101,21,24409.39,73330,23991,2019-05-23,20283
38,27495,19,5296.77,8263,14264,2020-03-13,27719
39,72592,16,30579.8,91711,30720,2005-01-20,33501
40,47622,11,28014.3,73859,20646,2015-01-24,17988
41,10508,7,11711.12,35000,7625,2016-03-30,20208
42,6041,25,71385.88,38515,4911,2021-05-20,29096
43,96303,23,72099.1,2946,6689,2011-12-09,4321
44,86418,24,41793.41,66732,11116,2012-03-21,16427
45,88519,40,24847.23,42815,16048,2021-03-29,34320
46,79141,9,99674.3,31473,25528,2009-12-31,9139
47,96421,27,17328.21,28138,29993,2016-10-11,13338
48,26779,3,51293.89,71274,22818,2004-07-18,4365
49,98070,22,98799.88,9942,1476,2015-06-01,17330
50,80326,3,40483.72,64249,27335,2013-11-12,36460
51,11429,23,39336.45,73710,625,2015-10-20,22496
52,25149,40,70866.26,16598,12149,2014-09-16,5806
53,84490,9,64817.4,62213,23414,2003-12-23,18779
