LOAN_TYPE_ID,LOAN_TYPE,GENDER,CIBIL_SCORE,TIME_DURATION,INTEREST_RATE
1,EDUCATION,MALE,Greater than 750,144,3.20
2,EDUCATION,MALE,Greater than 750,180,3.25
3,EDUCATION,MALE,Less than 750,144,3.50
4,EDUCATION,MALE,Less than 750,180,3.60
5,EDUCATION,FEMALE,Greater than 750,144,3.10
6,EDUCATION,FEMALE,Greater than 750,180,3.15
7,EDUCATION,FEMALE,Less than 750,144,3.30
8,EDUCATION,FEMALE,Less than 750,180,3.37
9,HOME,MALE,Greater than 750,120,4.30
10,HOME,MALE,Greater than 750,180,4.35
11,HOME,MALE,Less than 750,120,4.50
12,HOME,MALE,Less than 750,180,4.57
13,HOME,FEMALE,Greater than 750,120,4.20
14,HOME,FEMALE,Greater than 750,180,4.25
15,HOME,FEMALE,Less than 750,120,4.40
16,HOME,FEMALE,Less than 750,180,4.47
17,AUTO,MALE,Greater than 750,96,4.70
18,AUTO,MALE,Greater than 750,144,4.77
19,AUTO,MALE,Less than 750,96,4.90
20,AUTO,MALE,Less than 750,144,4.97
21,AUTO,FEMALE,Greater than 750,96,4.60
22,AUTO,FEMALE,Greater than 750,144,4.68
23,AUTO,FEMALE,Less than 750,96,4.70
24,AUTO,FEMALE,Less than 750,144,4.80
25,BUSINESS,MALE,Greater than 750,144,5.10
26,BUSINESS,MALE,Greater than 750,180,5.15
27,BUSINESS,MALE,Less than 750,144,5.20
28,BUSINESS,MALE,Less than 750,180,5.25
29,BUSINESS,FEMALE,Greater than 750,144,5.01
30,BUSINESS,FEMALE,Greater than 750,180,5.05
31,BUSINESS,FEMALE,Less than 750,144,5.10
32,BUSINESS,FEMALE,Less than 750,180,5.15
33,PERSONAL,MALE,Greater than 750,144,5.50
34,PERSONAL,MALE,Greater than 750,180,5.55
35,PERSONAL,MALE,Less than 750,144,5.60
36,PERSONAL,MALE,Less than 750,180,5.65
37,PERSONAL,FEMALE,Greater than 750,144,5.30
38,PERSONAL,FEMALE,Greater than 750,180,5.35
39,PERSONAL,FEMALE,Less than 750,144,5.45
40,PERSONAL,FEMALE,Less than 750,180,5.50
