non_performing_loan_id,loan_status,last_payment_date,description,loan_id
1,open,2021-11-22,full repayment,139
2,closed,2020-11-25,full repayment,290
3,open,2023-07-14,late repayment,148
4,open,2020-12-10,full repayment,405
5,closed,2022-01-16,late repayment,292
6,open,2023-03-25,full repayment,889
7,open,2022-12-28,full repayment,353
8,closed,2022-02-28,full repayment,553
9,open,2022-01-10,full repayment,706
10,open,2022-09-22,late repayment,191
11,closed,2020-12-21,late repayment,965
12,open,2021-07-21,late repayment,857
13,closed,2021-09-19,late repayment,870
14,closed,2021-12-12,full repayment,657
15,open,2022-10-13,late repayment,461
16,closed,2022-04-21,late repayment,768
17,closed,2022-04-18,late repayment,686
18,open,2021-03-07,late repayment,582
19,closed,2022-11-19,late repayment,439
20,open,2022-04-26,full repayment,434
21,closed,2022-09-19,late repayment,121
22,open,2021-06-03,full repayment,748
23,closed,2020-12-01,late repayment,962
24,open,2023-06-06,late repayment,753
25,closed,2021-03-10,full repayment,747
26,closed,2023-02-03,full repayment,255
27,open,2022-06-13,full repayment,468
28,closed,2021-05-29,full repayment,758
29,closed,2022-03-18,late repayment,779
30,open,2022-08-01,full repayment,114
31,closed,2022-01-19,late repayment,753
32,open,2020-10-23,late repayment,759
33,closed,2022-08-25,late repayment,438
34,open,2021-08-11,late repayment,523
35,open,2021-11-18,full repayment,245
36,closed,2022-09-08,full repayment,859
37,open,2020-12-11,full repayment,316
38,open,2021-08-11,full repayment,67
39,open,2021-10-21,late repayment,225
40,open,2023-01-28,late repayment,227
41,open,2021-10-03,late repayment,26
42,closed,2022-09-04,late repayment,800
43,open,2022-01-27,late repayment,128
44,closed,2022-12-07,full repayment,683
45,closed,2022-07-09,late repayment,329
46,closed,2022-04-25,full repayment,578
47,closed,2023-01-01,full repayment,879
48,closed,2021-06-04,late repayment,872
49,closed,2022-05-03,full repayment,744
50,open,2021-03-31,full repayment,941
51,closed,2021-08-11,full repayment,51
52,open,2023-06-23,late repayment,211
53,closed,2021-12-17,full repayment,490
54,open,2023-05-07,late repayment,86
55,open,2022-03-17,full repayment,849
56,open,2021-07-30,late repayment,90
57,closed,2022-06-11,late repayment,628
58,open,2022-09-02,full repayment,21
59,open,2020-12-16,late repayment,408
60,open,2021-12-13,full repayment,896
61,closed,2021-12-17,full repayment,213
62,open,2022-11-04,late repayment,450
63,closed,2023-06-04,full repayment,588
64,closed,2021-05-11,full repayment,790
65,open,2022-10-24,late repayment,307
66,closed,2023-06-15,full repayment,140
67,open,2021-06-17,late repayment,627
68,open,2022-11-19,late repayment,115
69,closed,2023-03-10,full repayment,665
70,open,2021-01-12,late repayment,815
71,closed,2022-11-22,full repayment,955
72,open,2022-03-30,late repayment,705
73,open,2022-06-30,late repayment,237
74,open,2021-01-09,full repayment,397
75,open,2023-06-10,late repayment,459
76,closed,2020-12-25,late repayment,38
77,closed,2022-06-10,full repayment,473
78,closed,2023-04-10,full repayment,890
79,closed,2022-01-09,late repayment,427
