security_id,security_name,security_type,quantity,market_value,purchase_date,purchase_price,purchase_value
1,Bryant Anthony and Williamson securities,Asset-Backed Securities,2,25799,2018-11-04,12730,25460
2,Ford Group securities,Mortgage-Backed Securities,47,56764,2022-09-06,1200,56405
3,Webb Inc securities,Foreign Exchange,45,32731,2019-04-06,712,32070
4,Vargas Rodriguez and Castaneda securities,Asset-Backed Securities,15,80681,2017-03-06,5351,80272
5,Peck-Rhodes securities,Asset-Backed Securities,27,26354,2020-03-06,957,25840
6,Khan-Marshall securities,Asset-Backed Securities,24,55300,2016-08-17,2296,55122
7,Brown-Gonzalez securities,Foreign Exchange,36,10463,2017-05-04,271,9786
8,Munoz-Baker securities,Asset-Backed Securities,15,26564,2017-07-09,1734,26015
9,Giles LLC securities,Mortgage-Backed Securities,27,9932,2022-01-19,354,9572
10,Elliott Brewer and Vasquez securities,Foreign Exchange,87,61095,2020-10-11,699,60896
11,Lawson-Wilson securities,Mortgage-Backed Securities,56,30048,2016-08-31,525,29412
12,Fuentes LLC securities,Government Bonds,81,51985,2018-05-02,638,51718
13,Flores-Davis securities,Foreign Exchange,13,26424,2022-09-18,2000,26004
14,Griffin Singleton and Wright securities,Government Bonds,76,98842,2017-12-19,1296,98539
15,Cole-Nelson securities,Corporate Bonds,6,30468,2020-08-19,4979,29877
16,Mitchell Gonzalez and Bean securities,Mortgage-Backed Securities,7,66723,2018-10-12,9499,66497
17,Washington Klein and Brown securities,Corporate Bonds,16,76291,2021-08-13,4755,76093
18,Herman Inc securities,Government Bonds,95,34782,2022-01-07,360,34237
19,Robinson Inc securities,Government Bonds,13,25718,2020-08-04,1950,25362
20,Sanchez and Sons securities,Foreign Exchange,6,60464,2022-03-15,9966,59796
21,Lopez Combs and May securities,Foreign Exchange,63,43064,2019-03-29,674,42506
22,Anderson LLC securities,Asset-Backed Securities,21,60168,2019-02-21,2856,59991
23,Cooke Hunt and Taylor securities,Equity Securities,38,63425,2021-09-27,1659,63045
24,Jones LLC securities,Treasury Bills,37,96670,2019-05-31,2600,96224
25,White Ltd securities,Treasury Bills,62,68525,2016-12-12,1100,68259
26,Davis-Howard securities,Money Market Instruments,94,14865,2023-01-26,152,14306
27,Horne Ltd securities,Corporate Bonds,78,62523,2019-04-13,794,61974
28,Campos Group securities,Government Bonds,83,53643,2020-02-12,644,53460
29,Miller-Hansen securities,Government Bonds,2,67792,2019-10-22,33629,67259
30,Barber Fuentes and Ramirez securities,Mortgage-Backed Securities,76,97183,2017-11-06,1269,96494
31,Thomas Lozano and Watkins securities,Government Bonds,67,36818,2018-05-26,544,36474
32,Nelson and Sons securities,Government Bonds,50,65493,2023-07-05,1297,64886
33,Brown-Gordon securities,Foreign Exchange,43,96264,2020-05-06,2231,95942
34,Olson Group securities,Asset-Backed Securities,24,65796,2020-09-01,2729,65513
35,Gould Tran and Johnson securities,Mortgage-Backed Securities,79,76737,2021-10-27,963,76140
36,Hendricks Smith and Graves securities,Corporate Bonds,92,43603,2016-11-09,469,43179
37,Beck Ltd securities,Corporate Bonds,95,62029,2016-08-04,646,61403
38,Townsend Hunter and Stanley securities,Treasury Bills,46,84083,2019-01-24,1820,83751
39,Dunn Foley and Adams securities,Corporate Bonds,48,98602,2018-05-28,2050,98409
40,Mcgrath-White securities,Asset-Backed Securities,3,71609,2021-01-30,23765,71297
41,Barnes PLC securities,Mortgage-Backed Securities,96,63795,2020-06-02,663,63674
42,Brown Ltd securities,Mortgage-Backed Securities,39,32278,2022-10-08,816,31849
43,Myers Mccann and Mcgrath securities,Corporate Bonds,60,5202,2019-11-23,80,4806
44,Small Hammond and Carter securities,Equity Securities,69,57504,2016-09-11,828,57179
45,Hernandez Joyce and Rodriguez securities,Foreign Exchange,67,93046,2019-10-31,1385,92798
46,Mccoy Barry and Cooper securities,Money Market Instruments,89,46743,2021-12-30,520,46340
47,Diaz-Harmon securities,Equity Securities,1,45936,2020-11-14,45711,45711
48,Jackson Group securities,Corporate Bonds,45,8867,2020-08-02,188,8502
49,Sharp Baker and Harris securities,Equity Securities,54,54681,2017-12-08,1003,54184
50,Kent PLC securities,Equity Securities,4,75590,2021-09-28,18730,74922
51,Stephens-Andrade securities,Asset-Backed Securities,82,81617,2019-08-18,993,81433
52,Daniel Inc securities,Equity Securities,76,82709,2021-09-23,1081,82185
53,West-Sanchez securities,Treasury Bills,2,79878,2019-01-10,39670,79341
54,Williams Group securities,Corporate Bonds,41,42118,2022-05-29,1011,41459
55,Baker Thomas and Liu securities,Corporate Bonds,8,58471,2019-03-05,7238,57908
56,Martin Group securities,Treasury Bills,3,70966,2022-09-27,23429,70287
57,Kelly-Bradley securities,Corporate Bonds,73,58143,2022-12-15,792,57850
58,Snyder LLC securities,Government Bonds,89,20132,2018-04-01,224,19989
59,Ellis Watson and Mejia securities,Equity Securities,50,96174,2021-11-08,1913,95667
60,Cameron Silva and Delgado securities,Government Bonds,7,13882,2018-04-09,1894,13259
61,Hoffman Mayo and Christian securities,Money Market Instruments,45,95589,2021-03-03,2109,94940
62,Terry and Sons securities,Mortgage-Backed Securities,92,78867,2016-11-02,850,78252
63,Tran-Hart securities,Equity Securities,3,73242,2019-08-07,24233,72699
64,Colon Curtis and Clark securities,Money Market Instruments,81,81245,2020-05-22,999,80988
65,Cole Ltd securities,Corporate Bonds,66,29886,2018-06-15,447,29536
66,Jones-Stevens securities,Corporate Bonds,26,12115,2021-05-10,458,11916
67,Welch and Sons securities,Corporate Bonds,7,59905,2016-07-13,8469,59283
68,Miller Harrison and Benson securities,Corporate Bonds,49,22669,2016-08-22,452,22168
69,Soto Glenn and Banks securities,Corporate Bonds,90,16049,2021-05-22,174,15709
70,Ford Gordon and Green securities,Mortgage-Backed Securities,21,50303,2022-04-11,2373,49847
71,Nichols Davis and Williams securities,Foreign Exchange,14,27083,2017-05-31,1906,26685
72,Ruiz LLC securities,Mortgage-Backed Securities,57,5398,2016-08-18,84,4830
73,Kramer Christensen and Anderson securities,Government Bonds,47,79722,2023-04-26,1689,79403
74,Jones-Walsh securities,Corporate Bonds,18,38008,2019-06-07,2090,37630
75,Hill Johnson and Santana securities,Treasury Bills,4,36982,2018-11-27,9074,36297
76,Williams-Brooks securities,Foreign Exchange,90,68753,2020-09-10,757,68187
77,Jordan-Mitchell securities,Equity Securities,53,54204,2018-10-07,1011,53616
78,Mills Group securities,Corporate Bonds,7,38754,2018-05-07,5439,38079
79,Russell Bernard and Garcia securities,Government Bonds,90,60222,2022-04-18,662,59601
80,Robinson Group securities,Foreign Exchange,32,23344,2019-03-04,723,23147
81,Stewart Stafford and Nash securities,Corporate Bonds,90,86929,2016-10-23,960,86459
82,Spencer Ltd securities,Corporate Bonds,91,9503,2019-01-31,100,9148
83,Jackson-Hall securities,Corporate Bonds,95,98850,2018-05-28,1037,98548
84,Reilly Chan and Hernandez securities,Corporate Bonds,43,20062,2022-11-11,451,19397
85,Anderson PLC securities,Mortgage-Backed Securities,87,10233,2019-02-11,110,9602
86,Patel Henderson and Velez securities,Corporate Bonds,7,21909,2021-01-19,3082,21576
87,Hodges Ltd securities,Corporate Bonds,3,11798,2022-12-21,3753,11261
88,Conner-Atkinson securities,Government Bonds,33,7179,2019-01-28,206,6821
89,Hess Inc securities,Mortgage-Backed Securities,70,54755,2016-10-05,772,54072
90,Wells-Mora securities,Mortgage-Backed Securities,88,69031,2021-07-16,779,68635
91,Hamilton Mckenzie and Campos securities,Corporate Bonds,94,8870,2019-09-11,87,8187
92,Wilson-Lopez securities,Foreign Exchange,67,81540,2017-11-10,1209,81040
93,Harrison PLC securities,Treasury Bills,87,79656,2018-05-09,914,79538
94,Jackson Group securities,Corporate Bonds,53,58046,2020-10-03,1086,57603
95,Nguyen Barnett and Bird securities,Equity Securities,42,60697,2018-03-19,1434,60254
96,Torres Santiago and Thomas securities,Money Market Instruments,99,39898,2019-03-29,399,39550
97,Wilson-Fernandez securities,Foreign Exchange,83,18372,2019-12-07,216,17980
98,Mendez Wilson and Espinoza securities,Treasury Bills,44,85379,2020-07-01,1927,84811
99,Cook-Armstrong securities,Government Bonds,28,70343,2021-05-30,2499,69978
100,Lee PLC securities,Equity Securities,24,55843,2020-03-01,2318,55638
101,Hays-Watson securities,Mortgage-Backed Securities,86,17193,2020-11-11,197,16951
102,Quinn LLC securities,Corporate Bonds,2,6198,2021-08-02,3049,6098
103,Jackson Wilson and Bell securities,Mortgage-Backed Securities,74,30368,2020-04-18,408,30213
104,Moran PLC securities,Equity Securities,78,5891,2021-02-23,73,5768
105,Kelly LLC securities,Mortgage-Backed Securities,86,26331,2022-10-25,299,25731
106,Allen Garcia and Martinez securities,Asset-Backed Securities,99,56227,2022-07-06,564,55845
107,Hall Green and Allen securities,Foreign Exchange,93,57880,2016-08-28,619,57617
108,Lopez-Wilcox securities,Government Bonds,64,35688,2019-04-06,553,35417
109,Richmond Fields and Lopez securities,Foreign Exchange,82,77302,2023-05-03,939,77035
110,Reynolds PLC securities,Equity Securities,82,52340,2022-07-17,634,52069
111,Gaines and Sons securities,Government Bonds,11,72998,2022-11-09,6616,72786
112,Eaton-Garcia securities,Foreign Exchange,48,7237,2023-05-10,145,6998
113,Smith Inc securities,Treasury Bills,84,95352,2017-09-19,1127,94693
114,Rogers Bryan and Phelps securities,Treasury Bills,61,39988,2021-05-12,647,39498
115,Shannon Jenkins and Norris securities,Government Bonds,55,93838,2022-12-23,1702,93647
116,Castro Group securities,Government Bonds,83,18278,2017-02-13,216,17993
117,Washington-Manning securities,Money Market Instruments,68,62835,2017-05-22,914,62201
118,Lee Rivers and Ramsey securities,Foreign Exchange,9,66607,2019-08-28,7340,66067
119,Edwards Christensen and Richards securities,Foreign Exchange,17,52420,2020-08-13,3068,52157
120,Hart LLC securities,Asset-Backed Securities,84,47425,2016-10-01,560,47054
121,Henderson Ltd securities,Equity Securities,46,58483,2020-01-11,1265,58212
122,Rodriguez Fisher and Fleming securities,Corporate Bonds,70,65593,2023-03-12,928,64996
123,Schneider Sanchez and Ruiz securities,Equity Securities,38,30577,2016-12-23,797,30300
124,Dickerson Group securities,Foreign Exchange,37,23990,2018-11-16,637,23589
125,Lane Inc securities,Foreign Exchange,38,27684,2021-03-29,718,27315
126,Yoder Ltd securities,Corporate Bonds,15,9456,2021-03-26,591,8874
127,Montgomery PLC securities,Corporate Bonds,14,10764,2017-10-22,720,10089
128,Chung LLC securities,Corporate Bonds,4,23584,2017-02-28,5866,23464
129,White Inc securities,Asset-Backed Securities,26,44801,2023-05-09,1719,44700
130,Jones-Smith securities,Foreign Exchange,13,75577,2017-08-14,5777,75104
131,Hall Kelly and Calderon securities,Asset-Backed Securities,24,30751,2021-08-24,1259,30239
132,Wallace Huerta and Morales securities,Corporate Bonds,84,59623,2018-02-16,704,59186
133,Summers-Gonzalez securities,Corporate Bonds,5,41551,2018-06-24,8274,41374
134,Ellis Liu and Ellis securities,Treasury Bills,16,55420,2021-12-19,3450,55209
135,Rojas LLC securities,Treasury Bills,4,56173,2019-06-27,13877,55511
136,Warner Williams and Powell securities,Asset-Backed Securities,76,54140,2022-05-13,710,53972
137,Arellano Allen and Bates securities,Corporate Bonds,91,70763,2022-05-02,770,70122
138,Baldwin PLC securities,Foreign Exchange,54,63806,2021-07-11,1176,63548
139,Brown LLC securities,Corporate Bonds,10,5630,2018-09-25,530,5302
140,White-Duran securities,Treasury Bills,33,97033,2019-07-02,2929,96681
141,Bell Fuentes and Ferguson securities,Mortgage-Backed Securities,8,49364,2016-12-26,6112,48903
142,Perez Inc securities,Foreign Exchange,26,84797,2021-10-27,3236,84146
143,Hansen Tran and Andrews securities,Treasury Bills,7,41729,2018-11-05,5944,41614
144,Ramirez-Fuller securities,Government Bonds,40,60867,2020-01-01,1509,60385
145,Smith Beck and Phillips securities,Asset-Backed Securities,67,14217,2021-03-30,209,14039
146,Kane PLC securities,Asset-Backed Securities,89,30826,2023-05-27,340,30321
147,Arellano and Sons securities,Foreign Exchange,80,11818,2018-03-03,142,11383
148,Owen Guzman and Davis securities,Mortgage-Backed Securities,51,19843,2016-09-12,381,19444
149,Vazquez Wilson and Jones securities,Equity Securities,89,16228,2017-02-21,180,16037
150,Sanchez Livingston and Kane securities,Corporate Bonds,4,97799,2017-11-04,24397,97590
151,Leblanc-Watson securities,Equity Securities,22,98760,2021-06-10,4459,98098
152,Franklin Mcdonald and Gonzalez securities,Equity Securities,51,76414,2020-09-06,1486,75806
153,Santos LLC securities,Money Market Instruments,43,75244,2018-07-15,1745,75070
154,Snyder and Sons securities,Asset-Backed Securities,65,30119,2021-10-11,454,29550
155,Ray PLC securities,Treasury Bills,80,59359,2021-11-19,735,58860
156,Robbins-Gallagher securities,Treasury Bills,88,93111,2017-03-18,1053,92699
157,Finley Ltd securities,Asset-Backed Securities,83,41521,2022-07-26,494,41042
158,Wilkinson Phelps and Valentine securities,Asset-Backed Securities,30,81146,2022-07-16,2689,80697
159,Holmes Huffman and Washington securities,Corporate Bonds,11,35384,2017-11-04,3199,35197
160,Patel Shannon and Murray securities,Money Market Instruments,58,70762,2021-06-03,1216,70540
161,Fernandez-Munoz securities,Treasury Bills,57,76711,2019-12-10,1333,76018
162,Allen Bishop and Barton securities,Mortgage-Backed Securities,13,6153,2016-07-18,424,5524
163,Gray LLC securities,Treasury Bills,57,45969,2018-10-07,803,45815
164,Powers-Carter securities,Asset-Backed Securities,37,13822,2021-08-20,362,13404
165,Parker-Black securities,Treasury Bills,19,20891,2022-12-15,1074,20413
166,Kelly LLC securities,Mortgage-Backed Securities,56,81778,2017-05-01,1450,81228
167,Lara-Wilson securities,Foreign Exchange,1,63307,2018-06-04,62793,62793
168,Johnson-Griffin securities,Asset-Backed Securities,35,67985,2016-07-15,1929,67533
169,Arnold LLC securities,Foreign Exchange,67,50197,2018-10-31,741,49664
170,Jacobs and Sons securities,Treasury Bills,56,5754,2016-07-24,100,5640
171,Roberts Smith and White securities,Money Market Instruments,40,88164,2019-04-08,2189,87598
172,Moore Rogers and Graham securities,Equity Securities,45,71125,2018-06-26,1571,70732
173,Sanders PLC securities,Asset-Backed Securities,1,94735,2017-03-17,94202,94202
174,Herrera-Ortiz securities,Equity Securities,20,28421,2021-10-30,1412,28244
175,Hill Ltd securities,Money Market Instruments,38,18063,2022-04-17,470,17862
176,Frey Weiss and Sawyer securities,Asset-Backed Securities,72,44936,2018-03-19,622,44823
177,Page Ltd securities,Government Bonds,46,61856,2018-06-08,1333,61324
178,Johnston-Johnson securities,Equity Securities,3,81631,2019-02-21,27074,81223
179,Ramirez-Powell securities,Mortgage-Backed Securities,74,43258,2017-01-22,579,42856
180,Terry LLC securities,Asset-Backed Securities,91,53451,2019-03-04,585,53251
181,Williams-Acevedo securities,Government Bonds,74,93830,2019-10-03,1265,93673
182,Arnold-Cantrell securities,Mortgage-Backed Securities,29,19815,2017-03-17,661,19169
183,Allen Sexton and Wheeler securities,Mortgage-Backed Securities,83,99262,2019-05-15,1192,98984
184,Klein-Miller securities,Money Market Instruments,36,41383,2017-08-11,1139,41016
185,Sanders-Dean securities,Treasury Bills,39,58891,2018-05-25,1501,58570
186,Vaughn Brown and Richards securities,Government Bonds,49,78043,2022-01-09,1586,77744
187,Harvey LLC securities,Equity Securities,10,98434,2022-04-15,9825,98251
188,Lopez Gomez and Morris securities,Mortgage-Backed Securities,56,44421,2022-04-27,786,44053
189,Walker LLC securities,Foreign Exchange,84,58384,2020-06-11,689,57903
190,Brown Orozco and Woods securities,Mortgage-Backed Securities,82,96032,2019-08-17,1163,95410
191,Smith-Perry securities,Foreign Exchange,47,34376,2020-06-30,722,33967
192,Willis Hoover and Avila securities,Asset-Backed Securities,99,23457,2023-05-07,232,23031
