Transaction_ID,Transfer_Type,Loan_Amount,Bank_Interest_Rate,Other_Interest_Rate
1,IN,185554,6.42,6.65
2,OUT,466598,14.55,7.09
3,OUT,395468,11.0,5.87
4,OUT,409982,14.64,10.35
5,IN,309022,4.77,5.91
6,OUT,480520,14.09,10.32
7,OUT,154496,14.04,12.18
8,IN,179158,5.84,14.1
9,IN,306094,4.14,11.52
10,OUT,263034,7.37,4.83
11,OUT,233310,12.04,7.41
12,OUT,225267,9.52,5.17
13,IN,307709,4.16,6.7
14,OUT,339641,14.74,14.35
15,IN,180152,5.63,13.05
16,OUT,128543,14.01,4.96
17,IN,375338,4.27,6.71
18,OUT,349928,11.46,9.49
19,OUT,236132,11.04,9.82
20,IN,494338,5.5,8.5
21,IN,448598,10.28,14.61
22,IN,186873,10.85,11.95
23,OUT,206400,14.25,13.71
24,OUT,494798,7.88,7.29
25,OUT,115740,11.47,8.08
26,IN,323440,10.6,11.73
27,OUT,424567,11.64,10.0
28,OUT,158023,9.54,5.41
29,IN,335192,4.36,5.55
30,OUT,437874,8.41,8.09
31,OUT,122531,11.15,4.17
32,OUT,428999,14.2,8.13
33,IN,255365,4.11,6.02
34,IN,283709,4.95,5.06
35,IN,393905,5.61,8.29
36,IN,496655,4.04,4.36
37,OUT,168404,11.47,10.8
38,OUT,265575,11.21,9.38
39,IN,216325,5.48,7.67
40,OUT,400633,13.25,6.2
41,OUT,419089,12.77,10.6
42,IN,289123,4.44,6.12
43,IN,245810,5.15,13.18
44,IN,241752,5.8,6.48
45,OUT,122294,12.29,9.53
46,IN,497026,5.76,9.08
47,IN,286131,6.03,9.13
48,OUT,192027,10.6,4.59
49,IN,460655,6.94,12.83
50,OUT,389419,11.79,10.31
51,IN,271714,9.42,10.17
52,IN,249274,4.15,4.2
53,OUT,358904,14.62,12.12
54,IN,377490,4.26,4.81
55,IN,213636,4.4,4.85
56,IN,357710,4.99,5.01
57,IN,385402,5.09,8.15
58,OUT,199978,13.11,12.72
59,IN,393089,4.2,4.75
60,IN,142280,4.84,9.62
61,IN,487409,4.96,5.33
62,IN,479918,8.35,8.45
63,OUT,327856,9.21,4.1
64,OUT,201769,14.75,14.54
65,OUT,487435,11.9,11.18
66,IN,453921,6.01,12.04
67,OUT,427302,9.18,4.84
68,IN,323344,7.05,13.1
69,OUT,415455,12.97,4.85
70,OUT,112670,9.23,4.16
71,OUT,152562,14.66,14.07
72,IN,194400,4.45,4.51
73,OUT,108030,5.85,4.15
74,IN,414336,7.95,13.87
75,OUT,160523,11.62,9.34
76,IN,444145,4.78,4.79
77,IN,198412,4.38,6.77
78,IN,234124,7.5,11.52
79,OUT,386436,12.59,6.08
80,IN,480317,5.95,13.99
81,OUT,301759,14.6,12.34
82,OUT,460650,9.58,6.51
83,OUT,133143,11.88,7.83
84,OUT,163180,13.78,11.06
85,IN,204901,8.78,12.46
86,OUT,255107,9.37,4.24
87,OUT,431684,11.31,6.12
88,OUT,220536,15.0,14.28
89,IN,243766,4.12,11.26
90,OUT,436386,12.62,7.17
91,OUT,268699,14.02,13.75
92,OUT,417692,13.3,9.72
93,OUT,375324,14.91,11.19
94,OUT,408617,11.26,10.22
95,OUT,322495,12.15,7.42
96,OUT,430635,9.95,7.95
97,IN,233876,4.36,7.7
98,OUT,190605,14.75,14.46
99,OUT,221122,13.42,11.3
100,IN,161745,12.78,14.36
101,OUT,428084,14.66,13.52
102,OUT,477251,9.5,9.27
103,IN,384916,12.21,14.57
104,OUT,324307,14.98,10.9
105,OUT,455675,12.36,5.22
106,IN,413269,8.85,9.65
107,OUT,320218,11.45,9.47
108,IN,450467,5.53,5.76
109,IN,345456,4.82,5.16
110,IN,337122,5.76,8.38
111,IN,153187,4.0,13.41
112,IN,455558,9.26,11.27
113,IN,465639,9.23,11.92
114,OUT,466605,13.47,12.88
115,IN,415862,8.2,11.72
116,OUT,112885,12.46,5.54
117,IN,431176,5.18,7.69
118,OUT,374924,13.11,11.69
119,IN,113653,6.35,6.82
120,OUT,122892,13.29,7.22
121,OUT,167138,9.92,9.88
122,OUT,455263,6.73,5.54
123,IN,217584,5.6,5.98
124,OUT,462276,11.58,6.56
125,IN,241181,7.51,12.14
126,IN,292387,8.66,9.52
127,OUT,308995,14.86,13.52
128,IN,369071,4.98,11.28
129,IN,230791,8.54,10.93
130,IN,247417,9.04,11.15
131,IN,404655,6.85,9.7
132,OUT,147118,6.66,5.14
133,OUT,347441,10.23,10.17
134,OUT,347307,13.33,12.36
135,IN,395710,8.75,12.72
136,IN,164921,4.27,4.6
137,IN,309663,11.46,13.64
138,IN,477220,7.24,7.46
139,OUT,265723,9.93,7.0
140,OUT,223878,12.21,10.98
141,IN,318923,4.48,6.61
142,IN,291382,8.81,10.99
143,OUT,360192,10.62,7.82
144,OUT,455595,6.59,4.62
145,IN,498256,4.69,6.62
146,OUT,472385,13.26,8.65
147,OUT,405270,14.43,10.47
148,IN,237402,4.03,4.27
149,IN,308378,4.78,10.04
150,OUT,447179,12.87,12.76
151,OUT,272416,14.95,7.09
152,IN,310391,6.99,10.36
153,IN,181086,9.29,13.87
154,OUT,218706,12.62,9.77
155,IN,270319,4.3,4.4
156,OUT,410736,14.47,14.38
157,OUT,208103,12.57,8.84
158,IN,177187,12.52,12.62
159,IN,336609,4.22,4.7
160,OUT,110515,12.02,10.98
161,IN,471864,10.03,11.49
162,IN,277405,4.43,4.44
163,OUT,142473,12.73,6.81
164,IN,106303,5.58,9.19
165,IN,171077,13.98,14.4
166,OUT,464508,13.92,13.54
167,IN,414007,4.48,7.14
168,IN,120606,4.54,12.85
169,OUT,262484,13.02,6.68
170,OUT,340860,10.47,5.46
171,OUT,394023,14.64,13.14
172,OUT,122890,14.06,12.97
173,IN,120446,4.52,14.84
174,IN,105212,13.9,14.98
175,OUT,238564,8.54,5.86
176,OUT,482463,13.58,13.57
177,IN,187828,4.57,14.2
178,OUT,217759,10.0,7.93
179,OUT,174723,14.43,9.22
180,IN,151934,5.45,8.88
181,OUT,299281,14.97,14.9
182,IN,422718,4.28,9.88
183,IN,122065,10.68,14.58
184,IN,153314,4.16,4.49
185,IN,340741,4.61,10.36
186,IN,286022,5.54,6.87
