non_performing_account_id,non_performing_amount,tier1,risk_weighted_assets,created_date,account_id,description
6922,231510,265608,866587,2021-05-05,3196,xyz
39868,445553,548167,815730,2021-12-10,35111,abc
8951,365227,587091,211794,2020-11-07,11083,abc
26649,360051,366959,505270,2019-09-02,14970,xyz
36902,656459,681663,602466,2022-04-02,12514,abc
9763,428277,563235,902686,2021-06-24,33067,xyz
23257,133064,922890,734147,2021-01-08,15111,xyz
26540,176591,524409,882225,2020-04-29,35840,xyz
20251,153767,768066,750334,2020-03-15,30609,xyz
16279,694704,688193,683849,2021-02-16,4199,abc
20723,248129,297531,946237,2021-04-24,24174,xyz
22452,514541,843828,417758,2019-08-30,28767,abc
166,712410,285056,604645,2022-09-28,5573,abc
11948,141531,938159,218699,2021-12-20,3855,xyz
29281,695312,716564,995730,2022-04-06,25853,xyz
20551,916365,856370,546856,2020-01-24,680,xyz
11357,318954,154062,277354,2022-05-27,34670,abc
6836,967303,557987,841686,2020-07-08,31449,xyz
18882,975395,511080,654875,2021-11-28,12502,xyz
17928,820069,123418,581887,2023-07-22,36651,xyz
31940,438659,325811,158983,2020-08-22,36732,xyz
4548,569217,753714,947448,2020-05-10,9017,xyz
36523,786274,761603,895862,2021-06-22,37484,abc
1580,506551,526973,939778,2022-03-23,33030,xyz
20789,755056,161978,746091,2023-03-25,34087,xyz
28928,331238,739177,940955,2019-11-07,22571,xyz
34029,110789,177741,389537,2020-01-17,33781,xyz
34099,399421,200128,702512,2022-11-06,13305,xyz
23479,498689,776697,105270,2023-06-17,13259,abc
39341,739751,159382,348648,2022-07-06,31052,abc
20380,409247,235985,919573,2023-05-03,5884,abc
28859,183627,294786,918387,2020-10-23,27180,xyz
23551,820581,179902,539829,2021-03-24,21211,abc
36863,170765,370020,776813,2022-09-25,32020,abc
12319,775886,535951,340163,2020-08-29,32213,xyz
30914,363548,475933,989406,2022-12-23,12848,xyz
3072,238859,323529,342413,2020-02-29,16004,abc
11024,935476,717085,830480,2019-12-11,4266,xyz
8056,599810,663537,460675,2022-08-16,35418,xyz
30770,949492,364182,173960,2022-04-24,13320,xyz
31702,268604,850538,169383,2022-07-31,35329,abc
33746,384888,320548,341301,2021-04-29,35287,abc
10469,896600,980586,222532,2019-09-30,28151,abc
25051,536366,571119,769212,2020-04-06,10578,abc
33893,404269,882311,413302,2019-10-22,31899,abc
26002,626440,529289,387228,2020-04-25,7922,xyz
4926,219303,167210,718470,2019-11-24,30671,abc
6102,103713,266140,507971,2021-04-11,21289,xyz
38487,279526,227075,182689,2023-07-20,19504,abc
17675,868870,922386,132044,2022-07-20,38092,xyz
32943,798813,107064,663568,2023-07-11,6047,abc
21312,234663,658692,863470,2022-08-24,11127,abc
8561,957679,995706,880698,2022-11-16,1879,xyz
23763,496890,159677,851662,2020-01-11,17232,abc
22579,353936,154522,765059,2023-06-13,39619,xyz
25614,525344,620508,170029,2022-07-06,29810,xyz
14993,973708,789643,758483,2023-02-17,23892,abc
12378,333315,494501,745685,2020-12-15,29088,xyz
7213,402216,593896,558378,2022-03-17,22743,xyz
39987,853445,863512,676107,2021-01-22,13386,abc
6176,222870,612552,248795,2020-09-26,19742,abc
12801,755122,440111,550017,2022-04-15,33739,abc
25952,345190,444849,556124,2023-01-21,2424,abc
10191,733147,371660,853801,2020-12-16,14226,xyz
20487,196877,204198,900949,2023-02-27,14415,xyz
7565,219354,323368,198155,2020-11-27,6423,xyz
24324,188050,816902,601502,2020-07-04,6876,xyz
7801,937324,199386,958981,2022-06-26,29101,abc
10337,757236,448413,508200,2021-01-03,26998,xyz
31227,114915,474508,602424,2021-07-24,20470,xyz
12370,268156,932728,972207,2023-04-16,25450,abc
39788,845186,387479,153620,2021-01-23,23945,xyz
24920,287160,947098,635497,2020-08-06,33419,abc
5039,334203,237219,172524,2019-10-16,38522,abc
25116,951500,145950,805023,2023-01-25,14387,xyz
22042,901876,530703,608042,2021-01-20,18823,abc
10199,567399,725077,914991,2020-07-18,21586,xyz
19250,711917,433167,862835,2023-02-05,13182,abc
23481,512126,329080,113711,2023-05-24,9067,xyz
12626,833326,426559,298784,2020-06-04,9645,abc
22472,104740,822102,320972,2021-07-02,39145,xyz
33384,165382,209274,535763,2021-06-18,24500,abc
7005,213565,961857,492494,2021-07-30,26876,abc
36718,737782,254727,469194,2022-11-28,27191,xyz
23305,115000,941086,380991,2022-03-14,19600,xyz
27067,307537,526183,284211,2021-04-06,7353,xyz
14645,697080,641217,973663,2022-04-27,1693,xyz
9006,122096,869237,269289,2021-07-15,9355,abc
33302,375832,747100,408781,2022-09-14,16620,xyz
11511,192934,739495,967021,2021-03-12,17982,xyz
1386,424123,574260,957176,2022-07-24,33864,xyz
20190,577208,789316,179155,2022-09-20,3675,xyz
31371,874468,447286,472020,2023-06-28,385,abc
10532,756006,812151,178633,2023-06-18,20575,xyz
21470,584815,481000,388045,2022-07-12,5679,abc
2685,230198,676840,887527,2022-02-10,633,xyz
33118,814639,816063,274808,2019-08-28,39653,xyz
32834,271486,559361,829370,2023-04-08,28626,xyz
15283,124225,795471,430699,2020-07-24,38273,abc
13079,856023,971109,676282,2022-11-02,9468,abc
38016,710175,775606,877864,2023-06-21,26811,abc
4487,836020,698203,665076,2020-07-04,35135,abc
15734,566811,351391,251138,2022-11-09,1416,abc
36606,179355,453456,141637,2023-04-01,7255,abc
23880,859355,514569,938077,2021-03-24,32534,xyz
6615,855091,630184,228113,2020-10-14,10198,xyz
2826,389138,589796,617244,2022-08-29,31218,xyz
4580,970383,580838,567251,2020-09-01,23853,abc
36633,442034,265349,506508,2020-01-26,24841,abc
12872,346567,941401,859862,2021-09-14,34617,abc
36486,484176,275257,253594,2020-07-19,20661,xyz
3869,207361,275047,540654,2019-11-18,21173,xyz
21864,992832,564571,650890,2022-08-01,17754,abc
39446,388132,168933,600172,2021-05-03,11298,abc
32664,667238,231488,571035,2019-10-11,23193,xyz
21487,498329,488353,780560,2020-02-07,11829,xyz
30578,616569,912463,725327,2021-12-22,1699,xyz
16507,168811,513984,599566,2020-12-15,23554,abc
8176,786573,913392,395537,2021-09-17,15437,xyz
14552,781124,222499,190376,2021-04-27,24185,xyz
15973,954129,224354,816396,2020-05-15,33761,xyz
28296,979848,842852,310222,2020-07-26,31407,abc
6970,512788,987259,767204,2021-07-12,21279,abc
25150,800783,398465,850746,2022-09-08,22572,abc
6409,311122,478496,428451,2022-06-07,27427,xyz
26993,616040,500563,427490,2019-11-13,24376,abc
25566,474542,774072,453816,2020-09-24,22704,xyz
39426,311949,306067,588335,2021-06-22,13856,xyz
4342,485954,630377,584740,2022-10-04,30789,abc
3140,851657,156701,933547,2023-01-20,35492,abc
22370,930223,594124,452916,2021-04-02,8606,abc
14478,981202,682269,751949,2021-12-23,27121,xyz
4486,172688,228445,193057,2020-08-26,3063,xyz
25148,516099,646436,401080,2022-04-12,16066,abc
38513,666425,901195,534530,2020-12-10,36258,abc
39754,641882,365754,115616,2021-11-27,14133,xyz
34351,376063,412904,753945,2021-01-26,32540,abc
8450,552747,331722,698409,2021-01-07,17069,abc
26731,751344,636357,425174,2020-11-15,6594,abc
30624,655793,843580,508847,2022-07-28,8156,abc
33745,314443,590346,554579,2021-07-12,34811,abc
3106,747726,567435,548457,2020-01-01,32703,xyz
17376,167919,806578,576729,2019-08-22,18740,xyz
7950,687187,979846,488258,2021-12-22,11015,abc
24824,813951,762054,639702,2021-11-08,23674,xyz
36802,219298,639349,897031,2022-10-03,26360,xyz
3381,922209,978749,341674,2020-03-12,24853,xyz
2561,585533,118176,582210,2020-05-12,16488,xyz
39551,740327,793366,137327,2022-05-07,27815,xyz
20970,573271,356172,509409,2022-03-29,11497,abc
693,363786,979818,400419,2022-06-08,14695,xyz
19872,958880,761737,310661,2020-02-22,14098,abc
12763,633568,518515,665960,2020-07-11,39087,abc
38558,997777,471118,817345,2022-04-27,20543,abc
5892,554071,846113,439999,2020-07-08,1685,abc
27795,750134,193188,241072,2019-07-30,6103,xyz
34726,782671,383420,982185,2021-09-10,12891,abc
29062,557553,114121,162035,2022-08-10,4091,abc
9033,330177,676361,986132,2021-02-11,286,abc
33948,492664,695139,388448,2021-08-19,27679,abc
17964,660673,310481,947801,2022-08-26,35375,abc
1759,490827,376467,802334,2022-09-28,27699,xyz
26702,386265,164637,377324,2023-05-13,38648,xyz
9913,750181,777143,404544,2021-03-15,35846,abc
32631,992244,736569,832277,2020-08-09,1509,abc
20115,486418,151257,833032,2022-12-09,5240,abc
22450,792251,105054,904125,2020-12-10,11073,xyz
12726,630570,744646,255993,2022-01-05,16966,xyz
22568,371851,589673,316748,2019-11-24,35972,abc
710,654873,474492,404343,2023-03-05,7254,abc
3140,547943,703243,197981,2020-08-13,16060,abc
36159,851244,266536,654403,2021-06-08,19087,xyz
30213,484287,569448,307977,2021-04-21,33643,xyz
20289,748541,376208,610391,2019-12-11,5329,abc
15940,384332,729177,779682,2021-05-01,2152,abc
17666,198212,464641,545203,2022-08-25,21915,abc
94,756059,405851,646840,2022-12-01,1376,abc
32440,578187,982665,781366,2022-06-29,2152,abc
5511,881092,706959,205566,2023-05-09,28343,xyz
27388,717816,440296,409018,2023-05-16,32126,abc
4610,666208,150538,413861,2019-12-17,10928,xyz
12297,738677,854998,638332,2020-09-27,27623,xyz
12165,310184,219508,984116,2023-02-28,23022,xyz
21856,632747,617376,157785,2019-12-17,19061,xyz
26806,949932,969450,948157,2022-06-21,36119,abc
15483,502171,487235,461069,2021-06-17,23316,xyz
33876,680533,774726,733036,2022-09-07,3282,xyz
38293,378748,687087,918102,2023-03-16,10237,abc
38596,682770,788818,644722,2020-10-14,27518,xyz
9108,455918,156325,792917,2019-08-21,30263,xyz
27536,948520,120674,145533,2019-11-04,18832,abc
22900,301603,465614,389225,2022-06-28,17542,xyz
24860,357856,468884,842095,2023-05-28,22375,abc
7628,627232,598186,156532,2020-07-31,28609,abc
13951,504000,715272,409026,2023-01-23,13402,xyz
24365,516736,629538,598128,2021-12-14,20085,xyz
36735,373111,731284,860089,2019-07-25,28533,abc
26172,409397,771832,391237,2022-01-25,21664,abc
13131,205529,877755,568282,2019-08-01,29687,xyz
17975,359785,539084,511205,2022-01-24,2740,abc
2373,731333,479625,831000,2020-06-11,25830,abc
39844,376108,232088,712122,2022-04-21,29654,xyz
34693,457112,828588,107119,2023-02-02,18193,xyz
1815,192696,108713,408322,2020-07-23,25475,xyz
17649,898178,700861,382455,2022-10-02,32752,abc
12071,177056,780103,458570,2020-09-21,18396,xyz
4243,703929,520318,266381,2020-11-22,6271,xyz
11157,340448,431610,267291,2022-07-31,2229,xyz
19790,901818,572427,238173,2020-11-13,13592,abc
3984,405341,379145,254344,2020-07-03,6110,xyz
1605,310292,745447,664119,2020-04-12,549,xyz
26536,954901,442743,814082,2020-12-17,38893,abc
751,457063,376715,394524,2020-11-17,29596,xyz
22095,263864,976850,562365,2023-05-21,3339,abc
22324,646093,386348,203545,2019-10-11,7837,xyz
29555,569434,310657,323225,2023-01-06,31527,abc
17916,118025,880551,738509,2020-03-01,17241,abc
39413,166719,186145,291396,2023-07-21,18870,abc
35268,116196,298756,430969,2021-09-11,14541,abc
26713,239650,720162,490543,2023-07-05,1305,xyz
17272,424012,732515,416446,2021-10-28,10278,xyz
18581,552295,569214,980060,2023-06-15,9463,abc
